ensemble,k,q,w,metric,mean,lo,hi,n,ratio
cycle,2,2,1,R_active,1.0,1.0,1.0,16,0.5
cycle,2,4,1,R_active,1.0,1.0,1.0,39,0.5
cycle,2,6,1,R_active,1.0,1.0,1.0,45,0.5
cycle,2,8,1,R_active,1.0,1.0,1.0,49,0.5
cycle,3,2,1,R_active,1.0,1.0,1.0,7,0.3333333333333333
cycle,3,4,1,R_active,1.0,1.0,1.0,19,0.3333333333333333
cycle,3,6,1,R_active,1.0,1.0,1.0,30,0.3333333333333333
cycle,3,8,1,R_active,1.0,1.0,1.0,43,0.3333333333333333
cycle,4,2,1,R_active,1.0,1.0,1.0,3,0.25
cycle,4,4,1,R_active,1.0,1.0,1.0,17,0.25
cycle,4,6,1,R_active,1.0,1.0,1.0,30,0.25
cycle,4,8,1,R_active,1.0,1.0,1.0,35,0.25
scc,2,2,1,R_active,1.0,1.0,1.0,14,0.5
scc,2,4,1,R_active,1.0,1.0,1.0,31,0.5
scc,2,6,1,R_active,1.0,1.0,1.0,44,0.5
scc,2,8,1,R_active,1.0,1.0,1.0,46,0.5
scc,3,2,1,R_active,0.8192042313479682,0.7006583685249363,0.9218673290212217,34,0.3333333333333333
scc,3,4,1,R_active,0.9225148737632437,0.8811932175700149,0.9560174729703945,60,0.3333333333333333
scc,3,6,1,R_active,0.977054463246026,0.9696630109962275,0.9832588247921782,60,0.3333333333333333
scc,3,8,1,R_active,0.9780778577823237,0.9733651007487876,0.9825716942137774,60,0.3333333333333333
scc,4,2,1,R_active,0.6699910830213928,0.5064366488277775,0.8245011659157692,28,0.25
scc,4,4,1,R_active,0.9093054095622426,0.862163870932631,0.9450149639864344,53,0.25
scc,4,6,1,R_active,0.9432131223102995,0.926247056886674,0.9550337559835332,60,0.25
scc,4,8,1,R_active,0.9581795841931142,0.950771071353549,0.9654812352008376,59,0.25
cycle,2,2,1,R_passive_h1,1.0,1.0,1.0,16,0.5
cycle,2,4,1,R_passive_h1,1.0,1.0,1.0,39,0.5
cycle,2,6,1,R_passive_h1,1.0,1.0,1.0,45,0.5
cycle,2,8,1,R_passive_h1,1.0,1.0,1.0,49,0.5
cycle,3,2,1,R_passive_h1,0.712540501439131,0.6819579449241548,0.743123057954107,7,0.3333333333333333
cycle,3,4,1,R_passive_h1,0.7505022108055428,0.7218901961223145,0.7783775604915956,19,0.3333333333333333
cycle,3,6,1,R_passive_h1,0.7573163969921646,0.730967173310548,0.7814312224930948,30,0.3333333333333333
cycle,3,8,1,R_passive_h1,0.7607400391576529,0.740611289472222,0.7807262966939681,43,0.3333333333333333
cycle,4,2,1,R_passive_h1,0.508433023358129,0.5,0.5252990700743871,3,0.25
cycle,4,4,1,R_passive_h1,0.5133936253334991,0.5074409029630551,0.5193463477039432,17,0.25
cycle,4,6,1,R_passive_h1,0.5262441690666652,0.5141375570220568,0.5423325555116069,30,0.25
cycle,4,8,1,R_passive_h1,0.5495463494192384,0.531865323597209,0.5690486019446577,35,0.25
scc,2,2,1,R_passive_h1,1.0,1.0,1.0,14,0.5
scc,2,4,1,R_passive_h1,1.0,1.0,1.0,31,0.5
scc,2,6,1,R_passive_h1,1.0,1.0,1.0,44,0.5
scc,2,8,1,R_passive_h1,1.0,1.0,1.0,46,0.5
scc,3,2,1,R_passive_h1,0.772086797834046,0.6503638106508484,0.8765539601950325,34,0.3333333333333333
scc,3,4,1,R_passive_h1,0.8034960374230883,0.7561410213932239,0.8475142711251348,60,0.3333333333333333
scc,3,6,1,R_passive_h1,0.8891492476663518,0.8661443485268461,0.9107886709658417,60,0.3333333333333333
scc,3,8,1,R_passive_h1,0.902087729505732,0.8824184663125004,0.919829966455621,60,0.3333333333333333
scc,4,2,1,R_passive_h1,0.433294025499606,0.31385529373101917,0.5578959462689611,28,0.25
scc,4,4,1,R_passive_h1,0.6282116971248152,0.5810605949904573,0.6706813051332641,53,0.25
scc,4,6,1,R_passive_h1,0.695166208855862,0.6631196700858024,0.726804733505279,60,0.25
scc,4,8,1,R_passive_h1,0.7454490641495158,0.7131418446365977,0.7751824147019427,59,0.25
cycle,2,2,1,R_passive_h2,1.0,1.0,1.0,16,0.5
cycle,2,4,1,R_passive_h2,1.0,1.0,1.0,39,0.5
cycle,2,6,1,R_passive_h2,1.0,1.0,1.0,45,0.5
cycle,2,8,1,R_passive_h2,1.0,1.0,1.0,49,0.5
cycle,3,2,1,R_passive_h2,0.9209452382326013,0.8814178573489019,0.9604726191163007,7,0.3333333333333333
cycle,3,4,1,R_passive_h2,0.9465188487761473,0.9188580726843124,0.9718251317135554,19,0.3333333333333333
cycle,3,6,1,R_passive_h2,0.9448621896811655,0.9227089798977162,0.9649040152199361,30,0.3333333333333333
cycle,3,8,1,R_passive_h2,0.9432532567339608,0.9247887309159154,0.9604621052227159,43,0.3333333333333333
cycle,4,2,1,R_passive_h2,0.6571401497545236,0.646240625180289,0.6789391989029928,3,0.25
cycle,4,4,1,R_passive_h2,0.6635516347981911,0.6558578527457902,0.671245416850592,17,0.25
cycle,4,6,1,R_passive_h2,0.6849312531772023,0.6653804710429033,0.7111671685927093,30,0.25
cycle,4,8,1,R_passive_h2,0.7233723555616774,0.6950749009008526,0.7535405254072769,35,0.25
scc,2,2,1,R_passive_h2,1.0,1.0,1.0,14,0.5
scc,2,4,1,R_passive_h2,1.0,1.0,1.0,31,0.5
scc,2,6,1,R_passive_h2,1.0,1.0,1.0,44,0.5
scc,2,8,1,R_passive_h2,1.0,1.0,1.0,46,0.5
scc,3,2,1,R_passive_h2,0.7979082698443447,0.6733792815777908,0.8996463114296157,34,0.3333333333333333
scc,3,4,1,R_passive_h2,0.8749832191102787,0.8321350664344094,0.9154003883376898,60,0.3333333333333333
scc,3,6,1,R_passive_h2,0.9498076958223097,0.9332413059125378,0.9651057353495516,60,0.3333333333333333
scc,3,8,1,R_passive_h2,0.9584706949638074,0.948479045019714,0.9680983101455427,60,0.3333333333333333
scc,4,2,1,R_passive_h2,0.5085313263353811,0.3787428040803091,0.6424134323282639,28,0.25
scc,4,4,1,R_passive_h2,0.7528058188800439,0.6999203991354986,0.7953778738889046,53,0.25
scc,4,6,1,R_passive_h2,0.8239273742017412,0.7882693059050933,0.8530761602367236,60,0.25
scc,4,8,1,R_passive_h2,0.8847048047168797,0.8618433005458634,0.9073934142899552,59,0.25
cycle,2,2,1,part_surv_image_count,0.7541666666666667,0.7041666666666667,0.8001041666666666,60,0.5
cycle,2,4,1,part_surv_image_count,0.39999999999999997,0.3812499999999999,0.4215277777777777,60,0.5
cycle,2,6,1,part_surv_image_count,0.24624999999999997,0.23930555555555555,0.2531979166666667,60,0.5
cycle,2,8,1,part_surv_image_count,0.19174603174603175,0.1861904761904762,0.19734126984126982,60,0.5
cycle,3,2,1,part_surv_image_count,0.7277777777777776,0.6944444444444444,0.7583333333333334,60,0.3333333333333333
cycle,3,4,1,part_surv_image_count,0.3925925925925925,0.37870370370370376,0.4083333333333332,60,0.3333333333333333
cycle,3,6,1,part_surv_image_count,0.2711111111111111,0.26184490740740746,0.2807453703703703,60,0.3333333333333333
cycle,3,8,1,part_surv_image_count,0.20072751322751317,0.1940320767195767,0.2067734788359788,60,0.3333333333333333
cycle,4,2,1,part_surv_image_count,0.75625,0.725,0.7896354166666666,60,0.25
cycle,4,4,1,part_surv_image_count,0.39548611111111115,0.38159722222222214,0.40972222222222215,60,0.25
cycle,4,6,1,part_surv_image_count,0.2621527777777778,0.2545121527777778,0.26916840277777776,60,0.25
cycle,4,8,1,part_surv_image_count,0.19407242063492064,0.1892699652777778,0.1987906746031746,60,0.25
scc,2,2,1,part_surv_image_count,0.7416666666666667,0.7041666666666667,0.7833333333333333,60,0.5
scc,2,4,1,part_surv_image_count,0.39652777777777776,0.3798611111111111,0.41458333333333336,60,0.5
scc,2,6,1,part_surv_image_count,0.2644444444444444,0.25375,0.2772222222222222,60,0.5
scc,2,8,1,part_surv_image_count,0.19777777777777775,0.1919439484126984,0.20392906746031747,60,0.5
scc,3,2,1,part_surv_image_count,0.6138888888888888,0.586111111111111,0.6389583333333333,60,0.3333333333333333
scc,3,4,1,part_surv_image_count,0.2949074074074074,0.28748842592592583,0.30185185185185187,60,0.3333333333333333
scc,3,6,1,part_surv_image_count,0.19629629629629625,0.1921273148148148,0.2010185185185185,60,0.3333333333333333
scc,3,8,1,part_surv_image_count,0.14936507936507937,0.1464675925925926,0.1519050925925926,60,0.3333333333333333
scc,4,2,1,part_surv_image_count,0.6416666666666667,0.6145312500000001,0.6729166666666667,60,0.25
scc,4,4,1,part_surv_image_count,0.3291666666666666,0.31875,0.3416666666666666,60,0.25
scc,4,6,1,part_surv_image_count,0.21444444444444438,0.20958333333333334,0.22013888888888883,60,0.25
scc,4,8,1,part_surv_image_count,0.16374503968253964,0.16017857142857145,0.16707415674603177,60,0.25
cycle,2,2,1,part_surv_full_count,0.7541666666666667,0.7041666666666667,0.8001041666666666,60,0.5
cycle,2,4,1,part_surv_full_count,0.58125,0.5583333333333333,0.60625,60,0.5
cycle,2,6,1,part_surv_full_count,0.47361111111111115,0.45416666666666666,0.49166666666666653,60,0.5
cycle,2,8,1,part_surv_full_count,0.45416666666666666,0.43645833333333334,0.471875,60,0.5
cycle,3,2,1,part_surv_full_count,0.7277777777777776,0.6944444444444444,0.7583333333333334,60,0.3333333333333333
cycle,3,4,1,part_surv_full_count,0.5736111111111111,0.5513888888888889,0.5958333333333332,60,0.3333333333333333
cycle,3,6,1,part_surv_full_count,0.5185185185185185,0.4972222222222221,0.538888888888889,60,0.3333333333333333
cycle,3,8,1,part_surv_full_count,0.4791666666666667,0.46111111111111114,0.4951388888888889,60,0.3333333333333333
cycle,4,2,1,part_surv_full_count,0.75625,0.725,0.7896354166666666,60,0.25
cycle,4,4,1,part_surv_full_count,0.5760416666666667,0.5552083333333333,0.596875,60,0.25
cycle,4,6,1,part_surv_full_count,0.5055555555555554,0.4881944444444445,0.5208333333333334,60,0.25
cycle,4,8,1,part_surv_full_count,0.4635416666666667,0.44842447916666667,0.47813802083333334,60,0.25
scc,2,2,1,part_surv_full_count,0.7416666666666667,0.7041666666666667,0.7833333333333333,60,0.5
scc,2,4,1,part_surv_full_count,0.5895833333333333,0.5625,0.61875,60,0.5
scc,2,6,1,part_surv_full_count,0.5055555555555556,0.4805555555555555,0.5305555555555554,60,0.5
scc,2,8,1,part_surv_full_count,0.4739583333333333,0.4552083333333333,0.492734375,60,0.5
scc,3,2,1,part_surv_full_count,0.6138888888888888,0.586111111111111,0.6389583333333333,60,0.3333333333333333
scc,3,4,1,part_surv_full_count,0.3569444444444444,0.3430555555555555,0.3694444444444445,60,0.3333333333333333
scc,3,6,1,part_surv_full_count,0.27499999999999997,0.2648148148148148,0.2851851851851851,60,0.3333333333333333
scc,3,8,1,part_surv_full_count,0.24236111111111108,0.23333333333333334,0.25000000000000006,60,0.3333333333333333
scc,4,2,1,part_surv_full_count,0.6416666666666667,0.6145312500000001,0.6729166666666667,60,0.25
scc,4,4,1,part_surv_full_count,0.428125,0.4125,0.44583333333333336,60,0.25
scc,4,6,1,part_surv_full_count,0.34166666666666673,0.32916666666666666,0.3534722222222222,60,0.25
scc,4,8,1,part_surv_full_count,0.3125,0.3,0.3244921875,60,0.25
cycle,2,2,1,orbit_dim_image,0.44166666666666665,0.35833333333333334,0.525,60,0.5
cycle,2,4,1,orbit_dim_image,0.5173566723264537,0.4947137337704223,0.5362968055078459,60,0.5
cycle,2,6,1,orbit_dim_image,0.5493846185599444,0.5359334703223122,0.562442917503626,60,0.5
cycle,2,8,1,orbit_dim_image,0.5421257733031926,0.5293140015768119,0.552152536108977,60,0.5
cycle,3,2,1,orbit_dim_image,0.5375271527897971,0.47774373437530054,0.600023600694645,60,0.3333333333333333
cycle,3,4,1,orbit_dim_image,0.6352846649701177,0.6164300981807994,0.6541564594194045,60,0.3333333333333333
cycle,3,6,1,orbit_dim_image,0.6515537779798565,0.6375718636612748,0.6658400850668585,60,0.3333333333333333
cycle,3,8,1,orbit_dim_image,0.6662259697593457,0.6566312291805858,0.6764247416204546,60,0.3333333333333333
cycle,4,2,1,orbit_dim_image,0.48669731217524004,0.41994654603752574,0.54919731217524,60,0.25
cycle,4,4,1,orbit_dim_image,0.6670064044894659,0.6455634536058739,0.6883281838194606,60,0.25
cycle,4,6,1,orbit_dim_image,0.7092367527157853,0.6978325400509932,0.7221974468840182,60,0.25
cycle,4,8,1,orbit_dim_image,0.728779873166198,0.7196484652305908,0.7380917229578783,60,0.25
scc,2,2,1,orbit_dim_image,0.475,0.4,0.55,60,0.5
scc,2,4,1,orbit_dim_image,0.5067353444734259,0.48229197252409195,0.5303887980238456,60,0.5
scc,2,6,1,orbit_dim_image,0.5368114968568765,0.5216707146204206,0.5509250836893304,60,0.5
scc,2,8,1,orbit_dim_image,0.5412879220111638,0.5323030767056074,0.5504097395546376,60,0.5
scc,3,2,1,orbit_dim_image,0.6634491810863454,0.6212341348305441,0.7101808762594565,60,0.3333333333333333
scc,3,4,1,orbit_dim_image,0.7363221957816766,0.7246309642492721,0.7481936189812549,60,0.3333333333333333
scc,3,6,1,orbit_dim_image,0.7301480832294136,0.7243425330941298,0.7358681444928158,60,0.3333333333333333
scc,3,8,1,orbit_dim_image,0.7230506365719359,0.7189704317370664,0.7271830165664284,60,0.3333333333333333
scc,4,2,1,orbit_dim_image,0.6860879397406241,0.6299444312524494,0.7365044160582456,60,0.25
scc,4,4,1,orbit_dim_image,0.7441608049891625,0.7285070966514096,0.75854131680366,60,0.25
scc,4,6,1,orbit_dim_image,0.7591591624665752,0.751237047067661,0.7664683677769231,60,0.25
scc,4,8,1,orbit_dim_image,0.759241117739581,0.7533586286964284,0.7653712873809598,60,0.25
cycle,2,2,1,orbit_dim_recurrent,0.21666666666666667,0.125,0.31666666666666665,60,0.5
cycle,2,4,1,orbit_dim_recurrent,0.268430923606891,0.20899904296032148,0.32881977960087444,60,0.5
cycle,2,6,1,orbit_dim_recurrent,0.2971321073376538,0.24458568320689147,0.3528295791325836,60,0.5
cycle,2,8,1,orbit_dim_recurrent,0.2809441563380865,0.23686912785713715,0.32027392509801816,60,0.5
cycle,3,2,1,orbit_dim_recurrent,0.10974937501201928,0.03333333333333333,0.18852882467270968,60,0.3333333333333333
cycle,3,4,1,orbit_dim_recurrent,0.16641034016199946,0.1011561094527233,0.23389208037345954,60,0.3333333333333333
cycle,3,6,1,orbit_dim_recurrent,0.21509947045100392,0.15601230497802512,0.27168889498544924,60,0.3333333333333333
cycle,3,8,1,orbit_dim_recurrent,0.2774312190671625,0.22957412077205777,0.32520159738649784,60,0.3333333333333333
cycle,4,2,1,orbit_dim_recurrent,0.04919731217524002,0.0,0.11345591536762673,60,0.25
cycle,4,4,1,orbit_dim_recurrent,0.13805457145524672,0.08172795768381337,0.19478252913906008,60,0.25
cycle,4,6,1,orbit_dim_recurrent,0.2047081395859105,0.14594892427092354,0.26192987561883235,60,0.25
cycle,4,8,1,orbit_dim_recurrent,0.2329298306379439,0.18103375801115124,0.2814047069819867,60,0.25
scc,2,2,1,orbit_dim_recurrent,0.19166666666666668,0.1,0.2833333333333333,60,0.5
scc,2,4,1,orbit_dim_recurrent,0.2177975773842033,0.1564243466255317,0.2801611466629051,60,0.5
scc,2,6,1,orbit_dim_recurrent,0.2588346396314803,0.20867388916163646,0.308646768628534,60,0.5
scc,2,8,1,orbit_dim_recurrent,0.28351141052106216,0.2398196598629701,0.32745643124433005,60,0.5
scc,3,2,1,orbit_dim_recurrent,0.3233705533985019,0.2388734407295806,0.41460522255319726,60,0.3333333333333333
scc,3,4,1,orbit_dim_recurrent,0.5697939560016704,0.526843031603209,0.608829609571339,60,0.3333333333333333
scc,3,6,1,orbit_dim_recurrent,0.6112854689806979,0.582025600544884,0.6372390649625593,60,0.3333333333333333
scc,3,8,1,orbit_dim_recurrent,0.6401093922132078,0.6272401893387796,0.6536251768269323,60,0.3333333333333333
scc,4,2,1,orbit_dim_recurrent,0.3170493160276448,0.22439832770642026,0.415779348055226,60,0.25
scc,4,4,1,orbit_dim_recurrent,0.5272319940990056,0.4689654774147753,0.582754295221083,60,0.25
scc,4,6,1,orbit_dim_recurrent,0.6054111110680883,0.5798431474151434,0.6303853082593343,60,0.25
scc,4,8,1,orbit_dim_recurrent,0.6260166384399838,0.5959519558739219,0.647833307631316,60,0.25
