aeq_threshold,aeq_threshold_mode,aeq_alphabet_size_per_side,aeq_n_observed_pairs,aeq_exact_shared_classes,aeq_exact_residual_qcoords,aeq_exact_cost_qcoords,aeq_exact_edge_density,aeq_approx_classes,aeq_approx_residual_qcoords,aeq_approx_cost_qcoords,aeq_approx_kept_edge_fraction,aeq_approx_kept_mass,aeq_approx_same_component_mass,aeq_approx_cross_component_mass,aeq_approx_unassigned_mass,aeq_approx_component_mi_bits,aeq_approx_info_qcoords,aeq_approx_info_over_exact_capacity,aeq_approx_component_entropy_left_bits,aeq_approx_component_entropy_right_bits,aeq_approx_min_component_entropy_bits,aeq_approx_component_balance,aeq_approx_class_sizes_left,aeq_approx_class_sizes_right,eq_mode,kB,kC,kD,kM,kA,k_total,q,w,n_initial_states,n_schedules,initial_pool,observer_init,extra_B,extra_C,extra_D,extra_A,rule_interface_mi_norm_mean,rule_interface_mi_bits_mean,rule_interface_copy_accuracy_mean,rule_interface_cond_entropy_bits_mean,rule_interface_output_entropy_bits_mean,rule_interface_n,rule_interface_roles,rule_ensemble,mutation_rate,threshold_mode,selected_exact,selected_approx,approx_info_threshold_qcoords,min_same_component_mass,seed,instance,transforms,n_blocks
0.2,conditional,3,3,1,0.0,2.0,0.3333333333333333,1,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,[2],[2],joint,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.24464665103132335,0.38775576781166227,0.711111111111111,0.7623058338621813,1.1500616016738436,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,conditional,False,False,0.2,0.6,51739,0,"{""branch_C"": ""random"", ""branch_D"": ""random"", ""sink"": ""random""}",2
0.2,conditional,3,3,1,0.0,2.0,0.3333333333333333,1,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,[2],[2],joint,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.23126226928448754,0.36654202464759084,0.6666666666666666,0.8679700005769252,1.2345120252245159,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,conditional,False,False,0.2,0.6,51740,1,"{""branch_C"": ""random"", ""branch_D"": ""random"", ""sink"": ""random""}",2
0.2,conditional,3,3,1,0.0,2.0,0.3333333333333333,1,0.0,2.0,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,[2],[2],joint,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.3273704382531461,0.5188698684758872,0.711111111111111,0.7455305560363266,1.2644004245122136,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,conditional,False,False,0.2,0.6,51741,2,"{""branch_C"": ""random"", ""branch_D"": ""random"", ""sink"": ""random""}",2
0.2,conditional,3,5,1,0.0,2.0,0.5555555555555556,1,0.0,2.0,0.8,0.9814814814814815,0.9814814814814814,0.0,0.018518518518518517,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,[2],[2],joint,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.3476280985714171,0.5509775004326937,0.6888888888888889,0.8067502783066256,1.3577277787393194,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,conditional,False,False,0.2,0.6,51742,3,"{""branch_C"": ""random"", ""branch_D"": ""random"", ""sink"": ""random""}",2
0.2,conditional,3,6,1,0.0,2.0,0.6666666666666666,1,0.0,2.0,0.5,0.8564814814814815,0.8564814814814816,0.0,0.14351851851851852,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,[2],[2],joint,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.42347860722180475,0.6711977123041838,0.6888888888888889,0.8067502783066258,1.4779479906108093,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,conditional,False,False,0.2,0.6,51743,4,"{""branch_C"": ""random"", ""branch_D"": ""random"", ""sink"": ""random""}",2
0.2,conditional,3,5,1,0.0,2.0,0.5555555555555556,1,0.0,2.0,0.4,0.8125,0.8125,0.0,0.1875,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,[2],[1],joint,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.4023105634122861,0.6376471566524742,0.7333333333333332,0.7010861115918819,1.3387332682443562,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.05,conditional,False,False,0.2,0.6,60239,0,"{""branch_C"": ""random"", ""branch_D"": ""random"", ""sink"": ""random""}",2
0.2,conditional,3,7,1,0.0,2.0,0.7777777777777778,1,0.0,2.0,0.8571428571428571,0.9837962962962963,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,[3],[3],joint,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.479561251983712,0.7600866011930727,0.6888888888888889,0.7731997226549161,1.5332863238479888,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.05,conditional,False,False,0.2,0.6,60240,1,"{""branch_C"": ""random"", ""branch_D"": ""random"", ""sink"": ""random""}",2
0.2,conditional,3,5,1,0.0,2.0,0.5555555555555556,1,0.0,2.0,0.6,0.8402777777777778,0.8402777777777778,0.0,0.1597222222222222,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,[2],[2],joint,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.4583932081741934,0.7265360455413631,0.7555555555555554,0.6566416671474375,1.3831777126888007,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.05,conditional,False,False,0.2,0.6,60241,2,"{""branch_C"": ""random"", ""branch_D"": ""random"", ""sink"": ""random""}",2
0.2,conditional,3,8,1,0.0,2.0,0.8888888888888888,1,0.0,2.0,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,[3],[3],joint,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.45292010952379674,0.7178613894177367,0.6888888888888889,0.8067502783066256,1.5246116677243624,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.05,conditional,False,False,0.2,0.6,60242,3,"{""branch_C"": ""random"", ""branch_D"": ""random"", ""sink"": ""random""}",2
0.2,conditional,3,4,1,0.0,2.0,0.4444444444444444,1,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,[2],[2],joint,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.4375488675899524,0.6934985473630809,0.8,0.5342022226068389,1.2277007699699198,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.05,conditional,False,False,0.2,0.6,60243,4,"{""branch_C"": ""random"", ""branch_D"": ""random"", ""sink"": ""random""}",2
