candidate_index,schedule_index,schedule_branch_order,schedule_pair_id,q,w,k_total,kB,kC,kD,kA,exact_shared_classes,exact_residual_qcoords,n_joint_states,n_initial_states,n_attractors,mean_cycle_period,max_cycle_period,mean_label_period,max_label_period,mean_cycle_label_valid_fraction,all_valid_basin_fraction,constant_cycle_fraction,constant_basin_fraction,phase_cycle_fraction,phase_basin_fraction,stable_label_classes,stable_label_entropy_bits,stable_label_entropy_norm,init_label_to_stable_label_mi_bits,init_label_to_stable_label_mi_norm,attractor_label_conservation_fraction,attractor_label_transition_mi_bits,attractor_label_transition_mi_norm,saved_run,saved_generation,saved_candidate,saved_blind_fitness,saved_fitness_mode,saved_target_mode
0,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,50,1200,1.0000010000009965,two_stage,interface
1,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
2,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,48,1152,1.0000010000009965,two_stage,interface
3,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,47,1128,1.0000010000009965,two_stage,interface
4,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,46,1104,1.0000010000009965,two_stage,interface
5,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.4375,0.5,0.4375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,45,1088,1.0000010000009965,two_stage,interface
6,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,2,0.9886994082884974,0.4943497041442487,,,1.0,1.0,1.0,4,50,1201,1.0000010000009907,two_stage,interface
7,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,2,0.9886994082884974,0.4943497041442487,,,1.0,1.0,1.0,4,50,1202,1.0000010000009907,two_stage,interface
8,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,2,0.9886994082884974,0.4943497041442487,,,1.0,1.0,1.0,4,49,1177,1.0000010000009907,two_stage,interface
9,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,2,0.9886994082884974,0.4943497041442487,,,1.0,1.0,1.0,4,49,1178,1.0000010000009907,two_stage,interface
10,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,2,0.9886994082884974,0.4943497041442487,,,1.0,1.0,1.0,4,48,1153,1.0000010000009907,two_stage,interface
