q,w,k_total,rule_ensemble,mutation_rate,exact_B_classes,exact_C_classes,exact_Dtop_classes,exact_Dbottom_classes,source_label_classes,source_residual_qcoords,source_liveness,phi_AC_transport,phi_BD_transport,phi_CD_transport,min_edge_transport,min_edge_accuracy,valid_square,delta_type,nontrivial_path_holonomy,top_type,bottom_type,generated_group_name,generated_group_order,gauge_covariance_success,conjugacy_class_success,min_residual_qcoords,blind_fitness,blind_fitness_stage,search_mode,run,generation,candidate,seed,target_mode,proposal_mode,entry_rate,table_rate,fitness_mode,phi_AB,phi_BD,phi_AC,phi_CD,top,bottom,delta,generated_group_abelian,generated_group_cyclic,generated_group_transitive
4,1,19,random,0.0,2,1,1,1,2,0.5,1.0000000000000002,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0010000000000000002,transport,null,-1,0,0,31041130.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,1,31041131.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,1,2,1,2,0.5,1.0,0.0,0.3836885465963445,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.001,transport,null,-1,0,2,31041132.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,1,1,2,2,0.5,1.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.001,transport,null,-1,0,3,31041133.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,4,31041134.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,2,2,2,2,0.5,1.0000000000000002,0.15106563978903303,1.0,0.31127812445913294,0.15106563978903303,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.5,0.8052131279578065,transport,null,-1,0,5,31041135.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,6,31041136.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,7,31041137.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,2,1,1,2,0.5,1.0000000000000002,0.15106563978903303,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0010000000000000002,transport,null,-1,0,8,31041138.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,9,31041139.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,10,31041140.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,1,1,1,2,0.5,1.0000000000000002,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0010000000000000002,transport,null,-1,0,11,31041141.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,12,31041142.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,13,31041143.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,14,31041144.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,15,31041145.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,1,1,2,2,0.5,1.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.001,transport,null,-1,0,16,31041146.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,17,31041147.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,18,31041148.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,19,31041149.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,1,1,1,2,0.5,1.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.001,transport,null,-1,0,20,31041150.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,1,1,1,2,0.5,1.0000000000000002,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0010000000000000002,transport,null,-1,0,21,31041151.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,22,31041152.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,23,31041153.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,1,2,1,2,0.5,1.0000000000000002,0.0,0.31127812445913294,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0010000000000000002,transport,null,-1,0,24,31041154.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,25,31041155.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,1,1,1,2,0.5,1.0000000000000002,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0010000000000000002,transport,null,-1,0,26,31041156.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,27,31041157.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,28,31041158.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,29,31041159.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,3,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,30,31041160.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,1,1,1,2,0.5,1.0000000000000002,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0010000000000000002,transport,null,-1,0,31,31041161.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,1,1,1,2,0.5,1.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.001,transport,null,-1,0,32,31041162.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,1,1,2,2,0.5,1.0000000000000002,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0010000000000000002,transport,null,-1,0,33,31041163.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,2,2,2,1,0.0,0.0,0.0,0.0,0.15106563978903303,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,34,31041164.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,3,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,35,31041165.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,36,31041166.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,37,31041167.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,38,31041168.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,39,31041169.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,1,1,1,2,0.5,1.0000000000000002,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0010000000000000002,transport,null,-1,0,40,31041170.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,41,31041171.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,42,31041172.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,43,31041173.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,44,31041174.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,1,2,2,2,0.5,1.0,0.0,0.0,0.0,0.0,0.5,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.001,transport,null,-1,0,45,31041175.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,46,31041176.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,1,1,1,2,0.5,1.0000000000000002,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0010000000000000002,transport,null,-1,0,47,31041177.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,48,31041178.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,49,31041179.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,50,31041180.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,2,1,1,1,2,0.5,1.0000000000000002,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0010000000000000002,transport,null,-1,0,51,31041181.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,52,31041182.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,53,31041183.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,2,1,2,1,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,54,31041184.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,55,31041185.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,56,31041186.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,57,31041187.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,3,1,2,1,3,0.7924812503605781,1.0,0.0,1.0000000000000002,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.001,transport,null,-1,0,58,31041188.0,random,,,,,,,,,,,,,,
4,1,19,random,0.0,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,59,31041189.0,random,,,,,,,,,,,,,,
