generation,best_score,mean_score,median_score,best_connection_score,best_memory_score,best_connection_gate_passed,best_connection_gate_progress,best_visible_only_determinism,best_hidden_conditioned_visible_determinism,best_hidden_memory_ambiguity_reduction,best_memory_quotient_classes,best_memory_quotient_source_block_deterministic_fraction,best_memory_quotient_visible_conflict_source_fraction,best_memory_quotient_recurrent_classes,best_memory_quotient_nontrivial_recurrent,best_memory_quotient_visible_moving_edge_fraction,best_visible_schedule_quotient_classes,best_visible_schedule_quotient_retention_fraction,best_visible_schedule_quotient_source_block_deterministic_fraction,best_joint_schedule_quotient_classes,best_joint_schedule_quotient_retention_fraction,best_joint_schedule_quotient_compression_fraction,best_joint_schedule_quotient_source_block_deterministic_fraction,best_induced_visible_quotient_classes,best_induced_visible_quotient_retention_fraction,best_visible_quotient_schedule_absorption_signal,best_schedule_absorption_signal,best_dynamics_candidate,best_verdict
0,0.6642916751355434,0.21210208330279376,0.18287250173866143,0.9629117386297322,0.5034962563309803,1,1.0,0.374755859375,0.60638427734375,0.3704607575165951,2048,0.05322265625,0.94677734375,0,0,0.9938271604938271,43,0.9113345398498501,1.0,2048,1.0,0.0,1.0,43,0.9113345398498501,1,0,0,VISIBLE-QUOTIENT SCHEDULE-ABSORPTION SIGNAL: visible distinctions quotient to schedule-consistent dynamics
1,0.6583832337140818,0.24135738414989913,0.18256304805894524,0.9633569224694579,0.49416663207657163,1,1.0,0.37896728515625,0.58135986328125,0.3258968058968059,2048,0.08935546875,0.91064453125,0,0,1.0,46,0.9276754860133456,1.0,2048,1.0,0.0,1.0,46,0.9276754860133456,1,0,0,VISIBLE-QUOTIENT SCHEDULE-ABSORPTION SIGNAL: visible distinctions quotient to schedule-consistent dynamics
2,0.6680183851841974,0.32694484183696876,0.19427124204185264,0.9636340417276035,0.5088407239685173,1,1.0,0.3997802734375,0.57147216796875,0.2860484034980679,2048,0.0791015625,0.92138671875,1,0,0.9919882275997384,48,0.9416978333112591,1.0,2047,0.9999359442748555,6.405572514445179e-05,1.0,48,0.9416978333112591,1,0,0,VISIBLE-QUOTIENT SCHEDULE-ABSORPTION SIGNAL: visible distinctions quotient to schedule-consistent dynamics
3,0.6504592981500614,0.2606564004731646,0.18234448103450557,0.9500000000000001,0.48916815100009453,1,1.0,0.777099609375,0.777099609375,0.0,2046,0.29960899315738027,0.7003910068426198,0,0,1.0,59,0.9804405082269736,1.0,2046,1.0,0.0,1.0,59,0.9804405082269736,1,0,0,VISIBLE-QUOTIENT SCHEDULE-ABSORPTION SIGNAL: visible distinctions quotient to schedule-consistent dynamics
4,0.6453528209692092,0.2675883546576439,0.18271884768595792,0.9621337372894596,0.4747784814121512,1,1.0,0.3837890625,0.517333984375,0.21671949286846276,2047,0.057156814851001464,0.9428431851489986,0,0,1.0,46,0.9276754860133456,1.0,2046,0.999935908869316,6.4091130683952e-05,1.0,46,0.9276754860133456,1,0,0,VISIBLE-QUOTIENT SCHEDULE-ABSORPTION SIGNAL: visible distinctions quotient to schedule-consistent dynamics
5,0.6497463346902321,0.29107986113909995,0.18311330971422174,0.9630895721663448,0.4810230529723252,1,1.0,0.32568359375,0.48931884765625,0.2426683562635771,2048,0.06787109375,0.93212890625,1,0,0.9958047292143402,44,0.9242479660442865,1.0,2047,0.9999359442748555,6.405572514445179e-05,1.0,44,0.9242479660442865,1,0,0,VISIBLE-QUOTIENT SCHEDULE-ABSORPTION SIGNAL: visible distinctions quotient to schedule-consistent dynamics
6,0.6560840559655701,0.2720953480785395,0.18274627004476224,0.9618580471785322,0.4914365222355135,1,1.0,0.34417724609375,0.5029296875,0.24206607724523033,2047,0.11773326819736199,0.882266731802638,1,0,0.9965034965034965,43,0.9043774591170163,1.0,2047,0.9999359442748555,6.405572514445179e-05,1.0,43,0.9043774591170163,1,0,0,VISIBLE-QUOTIENT SCHEDULE-ABSORPTION SIGNAL: visible distinctions quotient to schedule-consistent dynamics
7,0.6632139745167401,0.25631014827128734,0.11453409444165837,0.9623370495423571,0.5021477033491003,1,1.0,0.41876220703125,0.61541748046875,0.33833875879449754,2048,0.08740234375,0.91259765625,1,0,0.995191482053924,48,0.9416978333112591,1.0,2048,1.0,0.0,1.0,48,0.9416978333112591,1,0,0,VISIBLE-QUOTIENT SCHEDULE-ABSORPTION SIGNAL: visible distinctions quotient to schedule-consistent dynamics
8,0.6578430916233278,0.3325927443854379,0.18329311793568148,0.957659731838531,0.4964033622766799,1,1.0,0.4183349609375,0.57177734375,0.2637985309548793,2047,0.07669760625305325,0.923790913531998,0,0,0.9939352170916609,34,0.8578128741309131,1.0,2045,0.9998717864058853,0.00012821359411474553,1.0,34,0.8578128741309131,1,0,0,VISIBLE-QUOTIENT SCHEDULE-ABSORPTION SIGNAL: visible distinctions quotient to schedule-consistent dynamics
9,0.6479467326936494,0.228420465797055,0.181220478182209,0.9624883485295724,0.47857817032046013,1,1.0,0.3897705078125,0.5723876953125,0.29925985197039406,2047,0.05276013678553981,0.9477283829995115,0,0,1.0,51,0.9526769099090937,1.0,2047,1.0,0.0,1.0,51,0.9526769099090937,1,0,0,VISIBLE-QUOTIENT SCHEDULE-ABSORPTION SIGNAL: visible distinctions quotient to schedule-consistent dynamics
