q,rows,cols,n_links,n_plaquettes,rule_ensemble,mutation_rate,closed_scc,n_scc,link_schedule_consistency,flux_schedule_consistency,quotient_determinism_accuracy,quotient_determinism_exact,link_bit_entropy_bits,link_bit_entropy_norm,quotient_transition_mi_bits,quotient_transition_mi_norm,plaquette_flux_entropy_bits,initial_flux_entropy_bits,recurrent_flux_entropy_bits,recurrent_flux_fixed_fraction,mean_nontrivial_flux_fraction,partition_index,partition,quotient_score,closed_c2_quotient,recurrent_flux_nontrivial,closed_medium_candidate,seed,instance,mode
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.9592356579153645,0.9949044572394206,0.0,0.0,-0.0,2.9985532586771697,-0.0,1.0,0.500732421875,5,0011,0.9989808914478842,True,False,False,71994,0,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.957517491800588,0.9946896864750735,0.0,0.0,-0.0,2.9991805259966062,-0.0,1.0,0.50244140625,5,0011,0.9989379372950148,True,False,False,71995,1,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.9512817134085445,0.9939102141760681,0.0,0.0,-0.0,2.998472833005688,-0.0,1.0,0.5029296875,5,0011,0.9987820428352137,True,False,False,71996,2,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.959329668454631,0.9949162085568288,0.0,0.0,-0.0,2.998985550549638,-0.0,1.0,0.5010986328125,5,0011,0.9989832417113658,True,False,False,71997,3,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.9532179841365105,0.9941522480170638,0.0,0.0,-0.0,2.998953907538364,-0.0,1.0,0.50341796875,5,0011,0.9988304496034128,True,False,False,71998,4,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.946950307818831,0.9933687884773539,0.0,0.0,-0.0,2.9993445279075455,-0.0,1.0,0.504150390625,5,0011,0.9986737576954708,True,False,False,71999,5,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.955531963146944,0.994441495393368,0.0,0.0,-0.0,2.9982891282169,-0.0,1.0,0.4998779296875,5,0011,0.9988882990786736,True,False,False,72000,6,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.9521040840123,0.9940130105015375,0.0,0.0,-0.0,2.999645294059314,-0.0,1.0,0.499267578125,5,0011,0.9988026021003076,True,False,False,72001,7,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.949886321242924,0.9937357901553655,0.0,0.0,-0.0,2.997728711523723,-0.0,1.0,0.498046875,5,0011,0.9987471580310732,True,False,False,72002,8,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.959824069384201,0.9949780086730251,0.0,0.0,-0.0,2.998539902514781,-0.0,1.0,0.507080078125,5,0011,0.9989956017346051,True,False,False,72003,9,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.953400702881387,0.9941750878601734,0.0,0.0,-0.0,2.999298661343374,-0.0,1.0,0.5054931640625,5,0011,0.9988350175720347,True,False,False,72004,10,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.946918834165944,0.993364854270743,0.0,0.0,-0.0,2.999195558605507,-0.0,1.0,0.50341796875,5,0011,0.9986729708541486,True,False,False,72005,11,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.957574579961993,0.9946968224952492,0.0,0.0,-0.0,2.9984021146929623,-0.0,1.0,0.4957275390625,5,0011,0.9989393644990499,True,False,False,72006,12,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.955690478393153,0.9944613097991442,0.0,0.0,-0.0,2.9993759174239485,-0.0,1.0,0.500244140625,5,0011,0.9988922619598288,True,False,False,72007,13,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.962435976111868,0.9953044970139835,0.0,0.0,-0.0,2.9990486331893162,-0.0,1.0,0.498046875,5,0011,0.9990608994027967,True,False,False,72008,14,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.946993388559238,0.9933741735699048,0.0,0.0,-0.0,2.999490131669,-0.0,1.0,0.4971923828125,5,0011,0.998674834713981,True,False,False,72009,15,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.963044808754229,0.9953806010942786,0.0,0.0,-0.0,2.9984694640325156,-0.0,1.0,0.5008544921875,5,0011,0.9990761202188558,True,False,False,72010,16,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.953117269391589,0.9941396586739486,0.0,0.0,-0.0,2.999363400178462,-0.0,1.0,0.503173828125,5,0011,0.9988279317347898,True,False,False,72011,17,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.958920476410065,0.9948650595512581,0.0,0.0,-0.0,2.997666480270734,-0.0,1.0,0.5076904296875,5,0011,0.9989730119102517,True,False,False,72012,18,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.948872334378369,0.9936090417972961,0.0,0.0,-0.0,2.998175830480884,-0.0,1.0,0.4952392578125,5,0011,0.9987218083594593,True,False,False,72013,19,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.950991836330579,0.9938739795413224,0.0,0.0,-0.0,2.9984474253019955,-0.0,1.0,0.5,5,0011,0.9987747959082646,True,False,False,72014,20,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.951725208212411,0.9939656510265513,0.0,0.0,-0.0,2.999814903406283,-0.0,1.0,0.502685546875,5,0011,0.9987931302053104,True,False,False,72015,21,sweep
