kB,kC,kD,kA,q,w,horizon,phase_mode,phase_protocol,herald_mode,branch_order,initial_mode,observer_init,phase_vertex_C,phase_vertex_D,n_phase_C,n_phase_D,phase_entropy_C_bits,phase_entropy_D_bits,phase_pair_entropy_bits,relation_mi_bits,relation_mi_norm,selection_bits,posterior_entropy_bits,marginal_selection_C_bits,marginal_selection_D_bits,herald_efficiency,herald_spread,herald_cv,robust_possible_fraction,robust_certain_fraction,sink_memory_bits,cut_bits_per_tick,n_joint_states,n_schedules,nontrivial_sccs,interface_BC,interface_BD,interface_CA,interface_DA,labels_C,labels_D,herald_matrix,seed,instance,extra_B,extra_C,extra_D,extra_A
2,2,2,2,4,1,1,cut,first,sink_equal,both,all,zero,0,0,2,2,1.0,1.0,2.0,0.0002808361903997173,0.0002808361903997173,0.0012759784062761348,1.9987240215937239,0.0007317431807748569,0.00026339903510166733,0.306640625,0.03125,0.04176712435861147,1.0,0.0,4.0,4.0,65536,32,4,"((0, 2),)","((0, 4),)","((2, 6),)","((4, 7),)","(0, 1)","(0, 1)","[[0.31640625, 0.31640625], [0.28515625, 0.30859375]]",434869,0,2,2,2,2
2,2,2,2,4,1,1,erased_value,first,sink_equal,both,all,zero,0,0,4,4,2.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.31640625,0.0,0.0,1.0,0.0,4.0,4.0,65536,32,4,"((0, 2),)","((0, 4),)","((2, 6),)","((4, 7),)","(0, 1, 2, 3)","(0, 1, 2, 3)","[[0.31640625, 0.31640625, 0.31640625, 0.31640625], [0.31640625, 0.31640625, 0.31640625, 0.31640625], [0.31640625, 0.31640625, 0.31640625, 0.31640625], [0.31640625, 0.31640625, 0.31640625, 0.31640625]]",434869,0,2,2,2,2
2,2,2,2,4,1,2,cut,first,sink_equal,both,all,zero,0,0,2,2,1.0,1.0,2.0,9.186874689878777e-05,9.186874689878777e-05,9.441921610431336e-05,1.9999055807838957,6.751240637463667e-07,1.8753451416231044e-06,0.3785400390625,0.009765625,0.01144224121200269,1.0,0.0,4.0,4.0,65536,32,4,"((0, 2),)","((0, 4),)","((2, 6),)","((4, 7),)","(0, 1)","(0, 1)","[[0.3837890625, 0.3740234375], [0.37451171875, 0.3818359375]]",434869,0,2,2,2,2
2,2,2,2,4,1,2,erased_value,first,sink_equal,both,all,zero,0,0,4,4,2.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.3837890625,0.0,0.0,1.0,0.0,4.0,4.0,65536,32,4,"((0, 2),)","((0, 4),)","((2, 6),)","((4, 7),)","(0, 1, 2, 3)","(0, 1, 2, 3)","[[0.3837890625, 0.3837890625, 0.3837890625, 0.3837890625], [0.3837890625, 0.3837890625, 0.3837890625, 0.3837890625], [0.3837890625, 0.3837890625, 0.3837890625, 0.3837890625], [0.3837890625, 0.3837890625, 0.3837890625, 0.3837890625]]",434869,0,2,2,2,2
2,2,2,2,4,1,3,cut,first,sink_equal,both,all,zero,0,0,2,2,1.0,1.0,2.0,2.5228392029187727e-05,2.5228392029187727e-05,0.0001430607244228277,1.9998569392755772,1.1783002259257037e-05,0.00010604933013458676,0.381317138671875,0.0137939453125,0.014103073619780557,1.0,0.0,4.0,4.0,65536,32,4,"((0, 2),)","((0, 4),)","((2, 6),)","((4, 7),)","(0, 1)","(0, 1)","[[0.3759613037109375, 0.3897552490234375], [0.3774261474609375, 0.3821258544921875]]",434869,0,2,2,2,2
2,2,2,2,4,1,3,erased_value,first,sink_equal,both,all,zero,0,0,4,4,2.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.3759613037109375,0.0,0.0,1.0,0.0,4.0,4.0,65536,32,4,"((0, 2),)","((0, 4),)","((2, 6),)","((4, 7),)","(0, 1, 2, 3)","(0, 1, 2, 3)","[[0.3759613037109375, 0.3759613037109375, 0.3759613037109375, 0.3759613037109375], [0.3759613037109375, 0.3759613037109375, 0.3759613037109375, 0.3759613037109375], [0.3759613037109375, 0.3759613037109375, 0.3759613037109375, 0.3759613037109375], [0.3759613037109375, 0.3759613037109375, 0.3759613037109375, 0.3759613037109375]]",434869,0,2,2,2,2
2,2,2,2,4,1,1,cut,first,sink_equal,both,all,zero,0,0,2,2,1.0,1.0,2.0,0.00013948148324923696,0.00013948148324923696,0.007899550388653864,1.9921004496113461,0.006042915135464871,0.001717153769939403,0.3203125,0.08984375,0.10526022257092725,1.0,0.0,4.0,4.0,65536,32,4,"((0, 2),)","((0, 4),)","((2, 6),)","((4, 7),)","(0, 1)","(0, 1)","[[0.328125, 0.37109375], [0.28125, 0.30078125]]",434870,1,2,2,2,2
2,2,2,2,4,1,1,erased_value,first,sink_equal,both,all,zero,0,0,4,4,2.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.328125,0.0,0.0,1.0,0.0,4.0,4.0,65536,32,4,"((0, 2),)","((0, 4),)","((2, 6),)","((4, 7),)","(0, 1, 2, 3)","(0, 1, 2, 3)","[[0.328125, 0.328125, 0.328125, 0.328125], [0.328125, 0.328125, 0.328125, 0.328125], [0.328125, 0.328125, 0.328125, 0.328125], [0.328125, 0.328125, 0.328125, 0.328125]]",434870,1,2,2,2,2
2,2,2,2,4,1,2,cut,first,sink_equal,both,all,zero,0,0,2,2,1.0,1.0,2.0,0.00023926653891556335,0.00023926653891556335,0.0030399031237884344,1.9969600968762116,0.00040767046938021065,0.002392966115492494,0.2310791015625,0.03759765625,0.06528899680036067,1.0,0.0,4.0,4.0,65536,32,4,"((0, 2),)","((0, 4),)","((2, 6),)","((4, 7),)","(0, 1)","(0, 1)","[[0.216796875, 0.234375], [0.21875, 0.25439453125]]",434870,1,2,2,2,2
2,2,2,2,4,1,2,erased_value,first,sink_equal,both,all,zero,0,0,4,4,2.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.216796875,0.0,0.0,1.0,0.0,4.0,4.0,65536,32,4,"((0, 2),)","((0, 4),)","((2, 6),)","((4, 7),)","(0, 1, 2, 3)","(0, 1, 2, 3)","[[0.216796875, 0.216796875, 0.216796875, 0.216796875], [0.216796875, 0.216796875, 0.216796875, 0.216796875], [0.216796875, 0.216796875, 0.216796875, 0.216796875], [0.216796875, 0.216796875, 0.216796875, 0.216796875]]",434870,1,2,2,2,2
