kB,kA,q,w,horizon,observer_init,n_rec_B,n_A_states,n_joint_states,n_schedules,logRecB_bits,memory_bits,cut_bits,physical_bound_bits,signature_classes,signature_bits,zero_error_code_size,zero_error_exact,zero_error_bits,shannon_capacity_bits,zero_error_over_volume,capacity_over_volume,capacity_per_boundary_symbol,nontrivial_sccs,interface,seed,extra_B,extra_A
2,2,4,1,1,zero,6,16,256,4,2.584962500721156,4.0,2.0,2.0,3,1.584962500721156,2,True,1.0,0.9999999998655753,0.38685280723454163,0.38685280718253906,0.49999999993278765,2,"((0, 0),)",19605,2,2
2,2,4,1,2,zero,6,16,256,4,2.584962500721156,4.0,4.0,2.584962500721156,4,2.0,1,True,0.0,0.4775914765770868,0.0,0.18475760342513584,0.2387957382885434,2,"((0, 0),)",19605,2,2
2,2,4,1,3,zero,6,16,256,4,2.584962500721156,4.0,6.0,2.584962500721156,3,1.584962500721156,1,True,0.0,0.37717373348416405,0.0,0.14591071761348168,0.18858686674208203,2,"((0, 0),)",19605,2,2
2,2,4,1,1,zero,2,16,256,4,1.0,4.0,2.0,1.0,2,1.0,1,True,0.0,0.5,0.0,0.5,0.25,2,"((0, 0),)",19606,2,2
2,2,4,1,2,zero,2,16,256,4,1.0,4.0,4.0,1.0,2,1.0,2,True,1.0,1.0,1.0,1.0,0.5,2,"((0, 0),)",19606,2,2
2,2,4,1,3,zero,2,16,256,4,1.0,4.0,6.0,1.0,2,1.0,2,True,1.0,1.0,1.0,1.0,0.5,2,"((0, 0),)",19606,2,2
2,2,4,1,1,zero,1,16,256,4,0.0,4.0,2.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19607,2,2
2,2,4,1,2,zero,1,16,256,4,0.0,4.0,4.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19607,2,2
2,2,4,1,3,zero,1,16,256,4,0.0,4.0,6.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19607,2,2
2,2,4,1,1,zero,1,16,256,4,0.0,4.0,2.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19608,2,2
2,2,4,1,2,zero,1,16,256,4,0.0,4.0,4.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19608,2,2
2,2,4,1,3,zero,1,16,256,4,0.0,4.0,6.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19608,2,2
2,2,4,1,1,zero,1,16,256,4,0.0,4.0,2.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19609,2,2
2,2,4,1,2,zero,1,16,256,4,0.0,4.0,4.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19609,2,2
2,2,4,1,3,zero,1,16,256,4,0.0,4.0,6.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19609,2,2
2,2,4,1,1,zero,1,16,256,4,0.0,4.0,2.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19610,2,2
2,2,4,1,2,zero,1,16,256,4,0.0,4.0,4.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19610,2,2
2,2,4,1,3,zero,1,16,256,4,0.0,4.0,6.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19610,2,2
2,2,4,1,1,zero,6,16,256,4,2.584962500721156,4.0,2.0,2.0,6,2.584962500721156,2,True,1.0,1.2715533030671704,0.38685280723454163,0.49190396483988874,0.6357766515335852,2,"((0, 0),)",19611,2,2
2,2,4,1,2,zero,6,16,256,4,2.584962500721156,4.0,4.0,2.584962500721156,6,2.584962500721156,1,True,0.0,0.8947308804539542,0.0,0.34612915282304524,0.4473654402269771,2,"((0, 0),)",19611,2,2
2,2,4,1,3,zero,6,16,256,4,2.584962500721156,4.0,6.0,2.584962500721156,5,2.321928094887362,1,True,0.0,0.6121703242838914,0.0,0.23681980845490305,0.3060851621419457,2,"((0, 0),)",19611,2,2
2,2,4,1,1,zero,2,16,256,4,1.0,4.0,2.0,1.0,2,1.0,2,True,1.0,1.0,1.0,1.0,0.5,2,"((0, 0),)",19612,2,2
2,2,4,1,2,zero,2,16,256,4,1.0,4.0,4.0,1.0,2,1.0,2,True,1.0,0.9999999999999999,1.0,0.9999999999999999,0.49999999999999994,2,"((0, 0),)",19612,2,2
