kB,kA,q,w,horizon,observer_init,n_rec_B,n_A_states,n_joint_states,n_schedules,logRecB_bits,memory_bits,cut_bits,physical_bound_bits,signature_classes,signature_bits,zero_error_code_size,zero_error_exact,zero_error_bits,shannon_capacity_bits,zero_error_over_volume,capacity_over_volume,capacity_per_boundary_symbol,nontrivial_sccs,interface,seed,extra_B,extra_A
2,3,4,1,1,zero,3,64,1024,12,1.584962500721156,6.0,2.0,1.584962500721156,3,1.584962500721156,2,True,1.0,1.2604438375799814,0.6309297535714575,0.7952515198349999,0.6302219187899907,2,"((0, 0),)",21148,2,3
2,3,4,1,3,zero,3,64,1024,12,1.584962500721156,6.0,6.0,1.584962500721156,3,1.584962500721156,1,True,0.0,0.745000276388707,0.0,0.4700428407925946,0.3725001381943535,2,"((0, 0),)",21148,2,3
2,3,4,1,6,zero,3,64,1024,12,1.584962500721156,6.0,12.0,1.584962500721156,3,1.584962500721156,1,True,0.0,0.5695923236103639,0.0,0.35937274437168076,0.28479616180518197,2,"((0, 0),)",21148,2,3
2,3,4,1,1,zero,1,64,1024,12,0.0,6.0,2.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",21149,2,3
2,3,4,1,3,zero,1,64,1024,12,0.0,6.0,6.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",21149,2,3
2,3,4,1,6,zero,1,64,1024,12,0.0,6.0,12.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",21149,2,3
2,3,4,1,1,zero,2,64,1024,12,1.0,6.0,2.0,1.0,2,1.0,1,True,0.0,0.5,0.0,0.5,0.25,2,"((0, 0),)",21150,2,3
2,3,4,1,3,zero,2,64,1024,12,1.0,6.0,6.0,1.0,2,1.0,1,True,0.0,0.32646766585827086,0.0,0.32646766585827086,0.16323383292913543,2,"((0, 0),)",21150,2,3
2,3,4,1,6,zero,2,64,1024,12,1.0,6.0,12.0,1.0,2,1.0,1,True,0.0,0.25879299153847646,0.0,0.25879299153847646,0.12939649576923823,2,"((0, 0),)",21150,2,3
2,3,4,1,1,zero,1,64,1024,12,0.0,6.0,2.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",21151,2,3
2,3,4,1,3,zero,1,64,1024,12,0.0,6.0,6.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",21151,2,3
2,3,4,1,6,zero,1,64,1024,12,0.0,6.0,12.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",21151,2,3
2,3,4,1,1,zero,4,64,1024,12,2.0,6.0,2.0,2.0,3,1.584962500721156,1,True,0.0,0.8333333331961369,0.0,0.41666666659806845,0.41666666659806845,2,"((0, 0),)",21152,2,3
2,3,4,1,3,zero,4,64,1024,12,2.0,6.0,6.0,2.0,2,1.0,1,True,0.0,0.07827062710120666,0.0,0.03913531355060333,0.03913531355060333,2,"((0, 0),)",21152,2,3
2,3,4,1,6,zero,4,64,1024,12,2.0,6.0,12.0,2.0,1,0.0,1,True,0.0,0.021492903188954436,0.0,0.010746451594477218,0.010746451594477218,2,"((0, 0),)",21152,2,3
2,3,4,1,1,zero,5,64,1024,12,2.321928094887362,6.0,2.0,2.0,4,2.0,2,True,1.0,1.260443837484492,0.43067655807339306,0.5428436135726402,0.630221918742246,2,"((0, 0),)",21153,2,3
2,3,4,1,3,zero,5,64,1024,12,2.321928094887362,6.0,6.0,2.321928094887362,4,2.0,1,True,0.0,0.5637175011228327,0.0,0.24277991310931568,0.28185875056141635,2,"((0, 0),)",21153,2,3
2,3,4,1,6,zero,5,64,1024,12,2.321928094887362,6.0,12.0,2.321928094887362,2,1.0,1,True,0.0,0.6256819974289086,0.0,0.26946656910116795,0.3128409987144543,2,"((0, 0),)",21153,2,3
2,3,4,1,1,zero,1,64,1024,12,0.0,6.0,2.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",21154,2,3
2,3,4,1,3,zero,1,64,1024,12,0.0,6.0,6.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",21154,2,3
2,3,4,1,6,zero,1,64,1024,12,0.0,6.0,12.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",21154,2,3
2,3,4,1,1,zero,2,64,1024,12,1.0,6.0,2.0,1.0,2,1.0,1,True,0.0,0.3333333333333334,0.0,0.3333333333333334,0.1666666666666667,2,"((0, 0),)",21155,2,3
2,3,4,1,3,zero,2,64,1024,12,1.0,6.0,6.0,1.0,2,1.0,1,True,0.0,0.34238241110865497,0.0,0.34238241110865497,0.17119120555432749,2,"((0, 0),)",21155,2,3
