kB,kA,q,w,horizon,observer_init,n_rec_B,n_A_states,n_joint_states,n_schedules,logRecB_bits,memory_bits,cut_bits,physical_bound_bits,signature_classes,signature_bits,zero_error_code_size,zero_error_exact,zero_error_bits,shannon_capacity_bits,zero_error_over_volume,capacity_over_volume,capacity_per_boundary_symbol,nontrivial_sccs,interface,seed,extra_B,extra_A
4,3,4,1,1,zero,84,64,16384,144,6.392317422778761,6.0,2.0,2.0,11,3.4594316186372973,1,False,0.0,0.9046252101946556,0.0,0.1415175671613335,0.4523126050973278,2,"((0, 0),)",37530,4,3
4,3,4,1,2,zero,84,64,16384,144,6.392317422778761,6.0,4.0,4.0,21,4.392317422778761,1,False,0.0,0.3186805540789728,0.0,0.04985368106774043,0.1593402770394864,2,"((0, 0),)",37530,4,3
4,3,4,1,3,zero,84,64,16384,144,6.392317422778761,6.0,6.0,6.0,6,2.584962500721156,1,False,0.0,0.08258203965158672,0.0,0.012918951639871484,0.04129101982579336,2,"((0, 0),)",37530,4,3
4,3,4,1,4,zero,84,64,16384,144,6.392317422778761,6.0,8.0,6.0,1,0.0,1,False,0.0,0.02341020567892076,0.0,0.003662240801043367,0.01170510283946038,2,"((0, 0),)",37530,4,3
4,3,4,1,5,zero,84,64,16384,144,6.392317422778761,6.0,10.0,6.0,1,0.0,1,False,0.0,0.010047552303365261,0.0,0.001571816860589748,0.005023776151682631,2,"((0, 0),)",37530,4,3
4,3,4,1,6,zero,84,64,16384,144,6.392317422778761,6.0,12.0,6.0,1,0.0,1,False,0.0,0.004493730113731966,0.0,0.0007029892003983944,0.002246865056865983,2,"((0, 0),)",37530,4,3
4,3,4,1,1,zero,97,64,16384,144,6.599912842187128,6.0,2.0,2.0,7,2.807354922057604,2,False,1.0,1.2715533028364252,0.1515171524096389,0.19266213558284634,0.6357766514182126,2,"((0, 0),)",37531,4,3
4,3,4,1,2,zero,97,64,16384,144,6.599912842187128,6.0,4.0,4.0,16,4.0,1,False,0.0,1.0194792754544184,0.0,0.15446859675749533,0.5097396377272092,2,"((0, 0),)",37531,4,3
4,3,4,1,3,zero,97,64,16384,144,6.599912842187128,6.0,6.0,6.0,8,3.0,1,False,0.0,0.7064804867167647,0.0,0.1070439115802999,0.35324024335838233,2,"((0, 0),)",37531,4,3
4,3,4,1,4,zero,97,64,16384,144,6.599912842187128,6.0,8.0,6.0,5,2.321928094887362,1,False,0.0,0.4381336367383298,0.0,0.06638476101347088,0.2190668183691649,2,"((0, 0),)",37531,4,3
4,3,4,1,5,zero,97,64,16384,144,6.599912842187128,6.0,10.0,6.0,3,1.584962500721156,1,False,0.0,0.39257861781126835,0.0,0.05948239426767532,0.19628930890563417,2,"((0, 0),)",37531,4,3
4,3,4,1,6,zero,97,64,16384,144,6.599912842187128,6.0,12.0,6.0,3,1.584962500721156,1,False,0.0,0.3687159867724526,0.0,0.055866796363672096,0.1843579933862263,2,"((0, 0),)",37531,4,3
4,3,4,1,1,zero,23,64,16384,144,4.523561956057013,6.0,2.0,2.0,3,1.584962500721156,1,True,0.0,0.8755566863732809,0.0,0.1935547019978178,0.43777834318664044,2,"((0, 0),)",37532,4,3
4,3,4,1,2,zero,23,64,16384,144,4.523561956057013,6.0,4.0,4.0,6,2.584962500721156,1,True,0.0,0.6586565667929841,0.0,0.14560573574349928,0.32932828339649206,2,"((0, 0),)",37532,4,3
4,3,4,1,3,zero,23,64,16384,144,4.523561956057013,6.0,6.0,4.523561956057013,7,2.807354922057604,1,True,0.0,0.5297928362503125,0.0,0.1171185100141989,0.26489641812515624,2,"((0, 0),)",37532,4,3
