k,q,w,ratio,n_rec,n_img,qk,one_over_e_ref,part_surv_full_count,part_surv_image_count,orbit_dim_image,orbit_dim_recurrent,R_active,R_passive_h1,R_passive_h2,ensemble,density,instance,seed,R_active_classes
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,0,0,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,1,1,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,2,2,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,3,3,
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,4,4,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,5,5,
2,2,1,0.5,4,4,4,0.25,0.5,0.5,1.0,1.0,1.0,1.0,1.0,cycle,0,6,6,4.0
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,7,7,
2,2,1,0.5,4,4,4,0.25,0.5,0.5,1.0,1.0,1.0,1.0,1.0,cycle,0,8,8,4.0
2,2,1,0.5,4,4,4,0.25,0.5,0.5,1.0,1.0,1.0,1.0,1.0,cycle,0,9,9,4.0
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,10,10,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,11,11,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,12,12,
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,13,13,
2,2,1,0.5,4,4,4,0.25,0.5,0.5,1.0,1.0,1.0,1.0,1.0,cycle,0,14,14,4.0
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,15,15,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,16,16,
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,17,17,
2,2,1,0.5,4,4,4,0.25,0.5,0.5,1.0,1.0,1.0,1.0,1.0,cycle,0,18,18,4.0
2,2,1,0.5,4,4,4,0.25,0.5,0.5,1.0,1.0,1.0,1.0,1.0,cycle,0,19,19,4.0
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,20,20,
2,2,1,0.5,2,2,4,0.25,0.5,0.5,0.5,0.5,1.0,1.0,1.0,cycle,0,21,21,2.0
2,2,1,0.5,2,2,4,0.25,0.5,0.5,0.5,0.5,1.0,1.0,1.0,cycle,0,22,22,2.0
2,2,1,0.5,2,2,4,0.25,0.5,0.5,0.5,0.5,1.0,1.0,1.0,cycle,0,23,23,2.0
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,24,24,
2,2,1,0.5,2,2,4,0.25,0.5,0.5,0.5,0.5,1.0,1.0,1.0,cycle,0,25,25,2.0
2,2,1,0.5,2,2,4,0.25,0.5,0.5,0.5,0.5,1.0,1.0,1.0,cycle,0,26,26,2.0
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,27,27,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,28,28,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,29,29,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,30,30,
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,31,31,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,32,32,
2,2,1,0.5,4,4,4,0.25,0.5,0.5,1.0,1.0,1.0,1.0,1.0,cycle,0,33,33,4.0
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,34,34,
2,2,1,0.5,1,2,4,0.25,0.75,0.75,0.5,0.0,,,,cycle,0,35,35,
2,2,1,0.5,1,1,4,0.25,1.0,1.0,0.0,0.0,,,,cycle,0,36,36,
