eq_mode,eq_shared_classes,eq_shared_classes_mean,eq_shared_classes_min,eq_n_observed_pairs,eq_edge_density_mean,eq_residual_qcoords,eq_residual_bits,eq_cost_qcoords,eq_cost_bits,eq_residual_per_width,eq_cost_per_width,kB,kC,kD,kM,kA,k_total,q,w,n_initial_states,n_schedules,initial_pool,observer_init,extra_B,extra_C,extra_D,extra_A,eq_hidden_A_cost_qcoords,eq_hidden_A_cost_bits,eq_panel_cost_qcoords,eq_panel_residual_qcoords,product_sink_cost_qcoords,product_sink_cost_bits,product_cost_A_qcoords,product_cost_A_panel_qcoords,product_hidden_A_cost_qcoords,product_collapsed_vertices,product_fully_collapsed_vertices,product_admissibility_merges,overcollapse_avoided_qcoords,hidden_collapse_avoided_qcoords,equalizer_cost_fraction_of_product_A,seed,instance,eq_alphabet_size_per_side,eq_edge_density,eq_class_sizes_left,eq_class_sizes_right,eq_observed_left_words,eq_observed_right_words
pairwise,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12285,0,,,,,,
joint,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12285,0,4.0,0.6875,[3],[4],3.0,4.0
pairwise,[1],1.0,1,[5],0.3125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12286,1,,,,,,
joint,[1],1.0,1,[5],0.3125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12286,1,4.0,0.3125,[2],[4],2.0,4.0
pairwise,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12287,2,,,,,,
joint,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12287,2,4.0,0.8125,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12288,3,,,,,,
joint,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12288,3,4.0,0.75,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12289,4,,,,,,
joint,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12289,4,4.0,0.6875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12290,5,,,,,,
joint,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12290,5,4.0,0.6875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12291,6,,,,,,
joint,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12291,6,4.0,0.6875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[4],0.25,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12292,7,,,,,,
joint,[1],1.0,1,[4],0.25,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12292,7,4.0,0.25,[3],[2],3.0,2.0
pairwise,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12293,8,,,,,,
joint,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12293,8,4.0,0.75,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[7],0.4375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12294,9,,,,,,
joint,[1],1.0,1,[7],0.4375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12294,9,4.0,0.4375,[3],[4],3.0,4.0
pairwise,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12295,10,,,,,,
joint,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12295,10,4.0,0.75,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12296,11,,,,,,
joint,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12296,11,4.0,0.6875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[7],0.4375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12297,12,,,,,,
joint,[1],1.0,1,[7],0.4375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12297,12,4.0,0.4375,[4],[2],4.0,2.0
pairwise,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12298,13,,,,,,
joint,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12298,13,4.0,0.625,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12299,14,,,,,,
joint,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12299,14,4.0,0.6875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12300,15,,,,,,
joint,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12300,15,4.0,0.8125,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12301,16,,,,,,
joint,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12301,16,4.0,0.8125,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[9],0.5625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12302,17,,,,,,
joint,[1],1.0,1,[9],0.5625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12302,17,4.0,0.5625,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12303,18,,,,,,
joint,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12303,18,4.0,0.625,[3],[4],3.0,4.0
pairwise,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12304,19,,,,,,
joint,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12304,19,4.0,0.6875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12305,20,,,,,,
joint,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12305,20,4.0,0.6875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[7],0.4375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12306,21,,,,,,
joint,[1],1.0,1,[7],0.4375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12306,21,4.0,0.4375,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[5],0.3125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12307,22,,,,,,
joint,[1],1.0,1,[5],0.3125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12307,22,4.0,0.3125,[2],[3],2.0,3.0
pairwise,[1],1.0,1,[9],0.5625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12308,23,,,,,,
joint,[1],1.0,1,[9],0.5625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12308,23,4.0,0.5625,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12309,24,,,,,,
joint,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12309,24,4.0,0.625,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12310,25,,,,,,
