q,w,nx,ny,orientation,offset,z2_fraction,valid_fraction,nontrivial_fraction,group_name_counts,delta_type_counts,left_copied,right_copied,right_skipped_overlap,right_incompatible,left_plaquette_count,left_z2_fraction,left_valid_fraction,left_nontrivial_fraction,right_plaquette_count,right_z2_fraction,right_valid_fraction,right_nontrivial_fraction,seam_plaquette_count,seam_z2_fraction,seam_valid_fraction,seam_nontrivial_fraction,interior_plaquette_count,interior_z2_fraction,interior_valid_fraction,interior_nontrivial_fraction,all_plaquette_count,all_z2_fraction,all_valid_fraction,all_nontrivial_fraction,seam_pair_count,seam_pair_z2_fraction,seam_flux_mismatch_fraction,wilson_crossing_n,wilson_noncrossing_n,wilson_crossing_abs,wilson_noncrossing_abs,wilson_crossing_gap,clean_fusion,localized_seam_defect,seam_residue,fusion_score,pair_index,left_index,right_index,winner_path,repair_generations
4,1,8,4,horizontal,4,0.53125,0.53125,0.5294117647058824,"{""C2"": 17}","{""identity"": 8, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0625,0.0625,0.0,8,0.625,0.625,0.8,24,0.5,0.5,0.4166666666666667,32,0.53125,0.53125,0.5294117647058824,4,0.25,1.0,3,101,1.0,0.06930693069306931,0.9306930693069306,False,False,0.0,1.21875,0,17,12,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5625,0.5625,0.5555555555555556,"{""C2"": 18}","{""identity"": 8, ""cycle_2"": 10}",185,164,21,0,16,1.0,1.0,0.5625,16,0.125,0.125,0.5,8,0.5,0.5,1.0,24,0.5833333333333334,0.5833333333333334,0.42857142857142855,32,0.5625,0.5625,0.5555555555555556,4,0.0,,0,103,,0.08737864077669903,,False,False,0.08333333333333337,1.2291666666666667,1,10,5,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.59375,0.59375,0.5263157894736842,"{""C2"": 18, ""trivial"": 1}","{""identity"": 9, ""cycle_2"": 10}",185,164,21,0,16,1.0,1.0,0.5625,16,0.1875,0.1875,0.3333333333333333,8,0.625,0.625,0.8,24,0.5833333333333334,0.5833333333333334,0.42857142857142855,32,0.59375,0.59375,0.5263157894736842,4,0.25,0.0,3,104,0.3333333333333333,0.057692307692307696,0.2756410256410256,False,False,0.0,1.34375,2,6,0,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5,0.5,0.5625,"{""C2"": 15, ""trivial"": 1}","{""identity"": 7, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0,0.0,0.0,8,0.5,0.5,0.75,24,0.5,0.5,0.5,32,0.5,0.5,0.5625,4,0.0,,0,100,,0.12,,False,False,0.0,1.125,3,1,0,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5,0.5,0.5625,"{""C2"": 15, ""trivial"": 1}","{""identity"": 7, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0,0.0,0.0,8,0.5,0.5,0.75,24,0.5,0.5,0.5,32,0.5,0.5,0.5625,4,0.0,,0,100,,0.12,,False,False,0.0,1.125,4,3,16,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5,0.5,0.5625,"{""C2"": 16}","{""identity"": 7, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0,0.0,0.0,8,0.5,0.5,1.0,24,0.5,0.5,0.4166666666666667,32,0.5,0.5,0.5625,4,0.0,,0,100,,0.08,,False,False,0.0,1.125,5,12,18,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5,0.5,0.5625,"{""C2"": 16}","{""identity"": 7, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0,0.0,0.0,8,0.5,0.5,1.0,24,0.5,0.5,0.4166666666666667,32,0.5,0.5,0.5625,4,0.0,,0,100,,0.08,,False,False,0.0,1.125,6,10,12,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.53125,0.53125,0.5294117647058824,"{""C2"": 17}","{""identity"": 8, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0625,0.0625,0.0,8,0.625,0.625,0.8,24,0.5,0.5,0.4166666666666667,32,0.53125,0.53125,0.5294117647058824,4,0.25,1.0,3,101,1.0,0.06930693069306931,0.9306930693069306,False,False,0.0,1.21875,7,19,13,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5,0.5,0.5625,"{""C2"": 16}","{""identity"": 7, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0,0.0,0.0,8,0.5,0.5,1.0,24,0.5,0.5,0.4166666666666667,32,0.5,0.5,0.5625,4,0.0,,0,100,,0.08,,False,False,0.0,1.125,8,12,10,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5,0.5,0.5625,"{""C2"": 16}","{""identity"": 7, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0,0.0,0.0,8,0.5,0.5,1.0,24,0.5,0.5,0.4166666666666667,32,0.5,0.5,0.5625,4,0.0,,0,100,,0.08,,False,False,0.0,1.125,9,11,18,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5,0.5,0.5625,"{""C2"": 14, ""trivial"": 2}","{""identity"": 7, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0,0.0,0.0,8,0.5,0.5,0.5,24,0.5,0.5,0.5833333333333334,32,0.5,0.5,0.5625,4,0.0,,0,100,,0.08,,False,False,0.0,1.125,10,5,16,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.59375,0.59375,0.5789473684210527,"{""C2"": 19}","{""identity"": 8, ""cycle_2"": 11}",185,164,21,0,16,1.0,1.0,0.5625,16,0.1875,0.1875,0.6666666666666666,8,0.625,0.625,0.8,24,0.5833333333333334,0.5833333333333334,0.5,32,0.59375,0.59375,0.5789473684210527,4,0.25,1.0,3,104,1.0,0.07692307692307693,0.9230769230769231,False,False,0.0,1.34375,11,13,0,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.53125,0.53125,0.5294117647058824,"{""C2"": 16, ""trivial"": 1}","{""identity"": 8, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0625,0.0625,0.0,8,0.625,0.625,0.4,24,0.5,0.5,0.5833333333333334,32,0.53125,0.53125,0.5294117647058824,4,0.25,0.0,3,101,0.3333333333333333,0.10891089108910891,0.22442244224422442,False,False,0.0,1.21875,12,7,17,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5625,0.5625,0.6111111111111112,"{""C2"": 18}","{""identity"": 7, ""cycle_2"": 11}",185,164,21,0,16,1.0,1.0,0.5625,16,0.125,0.125,1.0,8,0.5,0.5,1.0,24,0.5833333333333334,0.5833333333333334,0.5,32,0.5625,0.5625,0.6111111111111112,4,0.0,,0,103,,0.08737864077669903,,False,False,0.08333333333333337,1.2291666666666667,13,11,0,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.53125,0.53125,0.5294117647058824,"{""C2"": 17}","{""identity"": 8, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0625,0.0625,0.0,8,0.625,0.625,0.8,24,0.5,0.5,0.4166666666666667,32,0.53125,0.53125,0.5294117647058824,4,0.25,1.0,3,101,1.0,0.06930693069306931,0.9306930693069306,False,False,0.0,1.21875,14,15,13,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.59375,0.59375,0.5263157894736842,"{""C2"": 19}","{""identity"": 9, ""cycle_2"": 10}",185,164,21,0,16,1.0,1.0,0.5625,16,0.1875,0.1875,0.3333333333333333,8,0.625,0.625,0.8,24,0.5833333333333334,0.5833333333333334,0.42857142857142855,32,0.59375,0.59375,0.5263157894736842,4,0.25,1.0,3,104,1.0,0.07692307692307693,0.9230769230769231,False,False,0.0,1.34375,15,16,3,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5,0.5,0.5625,"{""C2"": 15, ""trivial"": 1}","{""identity"": 7, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0,0.0,0.0,8,0.5,0.5,0.75,24,0.5,0.5,0.5,32,0.5,0.5,0.5625,4,0.0,,0,100,,0.12,,False,False,0.0,1.125,16,1,17,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.53125,0.53125,0.6470588235294118,"{""C2"": 16, ""trivial"": 1}","{""identity"": 6, ""cycle_2"": 11}",185,164,21,0,16,1.0,1.0,0.625,16,0.0625,0.0625,1.0,8,0.625,0.625,0.8,24,0.5,0.5,0.5833333333333334,32,0.53125,0.53125,0.6470588235294118,4,0.25,0.0,3,101,0.3333333333333333,0.009900990099009901,0.3234323432343234,False,False,0.0,1.21875,17,0,11,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5,0.5,0.5625,"{""C2"": 15, ""trivial"": 1}","{""identity"": 7, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0,0.0,0.0,8,0.5,0.5,0.75,24,0.5,0.5,0.5,32,0.5,0.5,0.5625,4,0.0,,0,100,,0.12,,False,False,0.0,1.125,18,1,6,example_results/lattice_growth_winners_q4_3to4.pkl,0
