winner_index,stored_fitness,stored_selected,stored_full_valid,q,w,nx,ny,valid_fraction,z2_fraction,nontrivial_fraction,measured_z2_fraction,measured_nontrivial_fraction,mean_flux,flux_map,group_counts,delta_counts,neg_domain_count,neg_domain_sizes,neg_domain_max,pos_domain_count,pos_domain_sizes,pos_domain_max,domain_wall_edges,valid_adjacencies,domain_wall_fraction,vertex_star_count,vertex_star_negative_fraction,interior_star_count,interior_star_negative_fraction
0,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,-0.3333333333333333,+-+/---/+--,"{""C2"": 9}","{""cycle_2"": 6, ""identity"": 3}",1,6,6,3,1;1;1,1,6,12,0.5,16,0.625,4,0.75
1,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
2,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
3,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
4,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
5,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
6,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
7,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
8,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
9,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
10,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
11,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
12,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
13,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
14,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
15,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
16,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
17,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
18,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
19,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
20,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
21,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
22,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
23,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
24,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
25,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
26,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
27,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
28,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
29,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
30,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
31,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
32,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
33,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
34,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
35,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
36,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
37,2.4000000000000004,True,True,4,1,3,3,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,-0.1111111111111111,+-+/--+/+--,"{""C2"": 9}","{""cycle_2"": 5, ""identity"": 4}",1,5,5,3,2;1;1,2,7,12,0.5833333333333334,16,0.625,4,0.75
