distance,n_pairs,corr_raw,corr_connected,mean_flux,winner_index
1,12,0.0,-0.1111111111111111,-0.3333333333333333,0
2,14,0.2857142857142857,0.1746031746031746,-0.3333333333333333,0
3,8,-0.5,-0.6111111111111112,-0.3333333333333333,0
4,2,0.0,-0.1111111111111111,-0.3333333333333333,0
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,1
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,1
3,8,0.0,-0.012345679012345678,-0.1111111111111111,1
4,2,0.0,-0.012345679012345678,-0.1111111111111111,1
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,2
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,2
3,8,0.0,-0.012345679012345678,-0.1111111111111111,2
4,2,0.0,-0.012345679012345678,-0.1111111111111111,2
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,3
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,3
3,8,0.0,-0.012345679012345678,-0.1111111111111111,3
4,2,0.0,-0.012345679012345678,-0.1111111111111111,3
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,4
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,4
3,8,0.0,-0.012345679012345678,-0.1111111111111111,4
4,2,0.0,-0.012345679012345678,-0.1111111111111111,4
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,5
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,5
3,8,0.0,-0.012345679012345678,-0.1111111111111111,5
4,2,0.0,-0.012345679012345678,-0.1111111111111111,5
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,6
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,6
3,8,0.0,-0.012345679012345678,-0.1111111111111111,6
4,2,0.0,-0.012345679012345678,-0.1111111111111111,6
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,7
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,7
3,8,0.0,-0.012345679012345678,-0.1111111111111111,7
4,2,0.0,-0.012345679012345678,-0.1111111111111111,7
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,8
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,8
3,8,0.0,-0.012345679012345678,-0.1111111111111111,8
4,2,0.0,-0.012345679012345678,-0.1111111111111111,8
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,9
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,9
3,8,0.0,-0.012345679012345678,-0.1111111111111111,9
4,2,0.0,-0.012345679012345678,-0.1111111111111111,9
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,10
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,10
3,8,0.0,-0.012345679012345678,-0.1111111111111111,10
4,2,0.0,-0.012345679012345678,-0.1111111111111111,10
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,11
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,11
3,8,0.0,-0.012345679012345678,-0.1111111111111111,11
4,2,0.0,-0.012345679012345678,-0.1111111111111111,11
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,12
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,12
3,8,0.0,-0.012345679012345678,-0.1111111111111111,12
4,2,0.0,-0.012345679012345678,-0.1111111111111111,12
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,13
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,13
3,8,0.0,-0.012345679012345678,-0.1111111111111111,13
4,2,0.0,-0.012345679012345678,-0.1111111111111111,13
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,14
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,14
3,8,0.0,-0.012345679012345678,-0.1111111111111111,14
4,2,0.0,-0.012345679012345678,-0.1111111111111111,14
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,15
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,15
3,8,0.0,-0.012345679012345678,-0.1111111111111111,15
4,2,0.0,-0.012345679012345678,-0.1111111111111111,15
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,16
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,16
3,8,0.0,-0.012345679012345678,-0.1111111111111111,16
4,2,0.0,-0.012345679012345678,-0.1111111111111111,16
1,12,-0.16666666666666666,-0.17901234567901234,-0.1111111111111111,17
2,14,-0.14285714285714285,-0.15520282186948853,-0.1111111111111111,17
3,8,0.0,-0.012345679012345678,-0.1111111111111111,17
