loop_h,loop_w,area,perimeter,n_loops,W_mean,W_abs_mean,W_values,winner_index
1,1,1,4,9,-0.3333333333333333,0.3333333333333333,1;-1;1;-1;-1;-1;1;-1;-1,0
1,2,2,6,6,0.0,0.0,-1;-1;1;1;-1;1,0
1,3,3,8,3,-0.3333333333333333,0.3333333333333333,-1;-1;1,0
2,1,2,6,6,0.0,0.0,-1;1;-1;-1;1;1,0
2,2,4,8,4,-0.5,0.5,-1;-1;-1;1,0
2,3,6,10,2,0.0,0.0,1;-1,0
3,1,3,8,3,-0.3333333333333333,0.3333333333333333,-1;-1;1,0
3,2,6,10,2,0.0,0.0,1;-1,0
3,3,9,12,1,1.0,1.0,1,0
1,1,1,4,9,-0.1111111111111111,0.1111111111111111,1;-1;1;-1;-1;1;1;-1;-1,1
1,2,2,6,6,-0.3333333333333333,0.3333333333333333,-1;-1;1;-1;-1;1,1
1,3,3,8,3,0.3333333333333333,0.3333333333333333,-1;1;1,1
2,1,2,6,6,0.0,0.0,-1;1;1;-1;1;-1,1
2,2,4,8,4,-0.5,0.5,-1;1;-1;-1,1
2,3,6,10,2,0.0,0.0,-1;1,1
3,1,3,8,3,-1.0,1.0,-1;-1;-1,1
3,2,6,10,2,1.0,1.0,1;1,1
3,3,9,12,1,-1.0,1.0,-1,1
1,1,1,4,9,-0.1111111111111111,0.1111111111111111,1;-1;1;-1;-1;1;1;-1;-1,2
1,2,2,6,6,-0.3333333333333333,0.3333333333333333,-1;-1;1;-1;-1;1,2
1,3,3,8,3,0.3333333333333333,0.3333333333333333,-1;1;1,2
2,1,2,6,6,0.0,0.0,-1;1;1;-1;1;-1,2
2,2,4,8,4,-0.5,0.5,-1;1;-1;-1,2
2,3,6,10,2,0.0,0.0,-1;1,2
3,1,3,8,3,-1.0,1.0,-1;-1;-1,2
3,2,6,10,2,1.0,1.0,1;1,2
3,3,9,12,1,-1.0,1.0,-1,2
1,1,1,4,9,-0.1111111111111111,0.1111111111111111,1;-1;1;-1;-1;1;1;-1;-1,3
1,2,2,6,6,-0.3333333333333333,0.3333333333333333,-1;-1;1;-1;-1;1,3
1,3,3,8,3,0.3333333333333333,0.3333333333333333,-1;1;1,3
2,1,2,6,6,0.0,0.0,-1;1;1;-1;1;-1,3
2,2,4,8,4,-0.5,0.5,-1;1;-1;-1,3
2,3,6,10,2,0.0,0.0,-1;1,3
3,1,3,8,3,-1.0,1.0,-1;-1;-1,3
3,2,6,10,2,1.0,1.0,1;1,3
3,3,9,12,1,-1.0,1.0,-1,3
1,1,1,4,9,-0.1111111111111111,0.1111111111111111,1;-1;1;-1;-1;1;1;-1;-1,4
1,2,2,6,6,-0.3333333333333333,0.3333333333333333,-1;-1;1;-1;-1;1,4
1,3,3,8,3,0.3333333333333333,0.3333333333333333,-1;1;1,4
2,1,2,6,6,0.0,0.0,-1;1;1;-1;1;-1,4
2,2,4,8,4,-0.5,0.5,-1;1;-1;-1,4
2,3,6,10,2,0.0,0.0,-1;1,4
3,1,3,8,3,-1.0,1.0,-1;-1;-1,4
3,2,6,10,2,1.0,1.0,1;1,4
3,3,9,12,1,-1.0,1.0,-1,4
1,1,1,4,9,-0.1111111111111111,0.1111111111111111,1;-1;1;-1;-1;1;1;-1;-1,5
1,2,2,6,6,-0.3333333333333333,0.3333333333333333,-1;-1;1;-1;-1;1,5
1,3,3,8,3,0.3333333333333333,0.3333333333333333,-1;1;1,5
2,1,2,6,6,0.0,0.0,-1;1;1;-1;1;-1,5
2,2,4,8,4,-0.5,0.5,-1;1;-1;-1,5
2,3,6,10,2,0.0,0.0,-1;1,5
3,1,3,8,3,-1.0,1.0,-1;-1;-1,5
3,2,6,10,2,1.0,1.0,1;1,5
3,3,9,12,1,-1.0,1.0,-1,5
1,1,1,4,9,-0.1111111111111111,0.1111111111111111,1;-1;1;-1;-1;1;1;-1;-1,6
1,2,2,6,6,-0.3333333333333333,0.3333333333333333,-1;-1;1;-1;-1;1,6
1,3,3,8,3,0.3333333333333333,0.3333333333333333,-1;1;1,6
2,1,2,6,6,0.0,0.0,-1;1;1;-1;1;-1,6
2,2,4,8,4,-0.5,0.5,-1;1;-1;-1,6
2,3,6,10,2,0.0,0.0,-1;1,6
3,1,3,8,3,-1.0,1.0,-1;-1;-1,6
3,2,6,10,2,1.0,1.0,1;1,6
3,3,9,12,1,-1.0,1.0,-1,6
1,1,1,4,9,-0.1111111111111111,0.1111111111111111,1;-1;1;-1;-1;1;1;-1;-1,7
1,2,2,6,6,-0.3333333333333333,0.3333333333333333,-1;-1;1;-1;-1;1,7
1,3,3,8,3,0.3333333333333333,0.3333333333333333,-1;1;1,7
2,1,2,6,6,0.0,0.0,-1;1;1;-1;1;-1,7
2,2,4,8,4,-0.5,0.5,-1;1;-1;-1,7
2,3,6,10,2,0.0,0.0,-1;1,7
3,1,3,8,3,-1.0,1.0,-1;-1;-1,7
3,2,6,10,2,1.0,1.0,1;1,7
3,3,9,12,1,-1.0,1.0,-1,7
1,1,1,4,9,-0.1111111111111111,0.1111111111111111,1;-1;1;-1;-1;1;1;-1;-1,8
1,2,2,6,6,-0.3333333333333333,0.3333333333333333,-1;-1;1;-1;-1;1,8
1,3,3,8,3,0.3333333333333333,0.3333333333333333,-1;1;1,8
2,1,2,6,6,0.0,0.0,-1;1;1;-1;1;-1,8
2,2,4,8,4,-0.5,0.5,-1;1;-1;-1,8
2,3,6,10,2,0.0,0.0,-1;1,8
3,1,3,8,3,-1.0,1.0,-1;-1;-1,8
3,2,6,10,2,1.0,1.0,1;1,8
3,3,9,12,1,-1.0,1.0,-1,8
1,1,1,4,9,-0.1111111111111111,0.1111111111111111,1;-1;1;-1;-1;1;1;-1;-1,9
1,2,2,6,6,-0.3333333333333333,0.3333333333333333,-1;-1;1;-1;-1;1,9
1,3,3,8,3,0.3333333333333333,0.3333333333333333,-1;1;1,9
2,1,2,6,6,0.0,0.0,-1;1;1;-1;1;-1,9
2,2,4,8,4,-0.5,0.5,-1;1;-1;-1,9
2,3,6,10,2,0.0,0.0,-1;1,9
3,1,3,8,3,-1.0,1.0,-1;-1;-1,9
3,2,6,10,2,1.0,1.0,1;1,9
3,3,9,12,1,-1.0,1.0,-1,9
