q,w,nx,ny,ensemble,p_flip,mutation_rate,instances,loop_a,loop_b,area,perimeter,n_loop_samples,mean_W,abs_mean_W,valid_plaquette_fraction,z2_plaquette_fraction,nontrivial_plaquette_fraction,delta_type_counts,group_name_counts
4,1,4,4,c2link,0.1,0.0,100,1,1,1,4,1600,0.26625,0.26625,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,1,2,2,6,1200,0.11666666666666667,0.11666666666666667,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,1,3,3,8,800,0.09,0.09,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,1,4,4,10,400,0.005,0.005,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,2,1,2,6,1200,0.43833333333333335,0.43833333333333335,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,2,2,4,8,900,0.2511111111111111,0.2511111111111111,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,2,3,6,10,600,0.15,0.15,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,2,4,8,12,300,0.11333333333333333,0.11333333333333333,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,3,1,3,8,800,0.1225,0.1225,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,3,2,6,10,600,0.0033333333333333335,0.0033333333333333335,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,3,3,9,12,400,0.015,0.015,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,3,4,12,14,200,-0.01,0.01,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,4,1,4,10,400,0.165,0.165,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,4,2,8,12,300,0.13333333333333333,0.13333333333333333,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,4,3,12,14,200,0.06,0.06,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.1,0.0,100,4,4,16,16,100,0.02,0.02,1.0,1.0,0.366875,"{""cycle_2"": 587, ""identity"": 1013}","{""C2"": 756, ""trivial"": 844}"
4,1,4,4,c2link,0.3,0.0,100,1,1,1,4,1600,-0.0125,0.0125,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,1,2,2,6,1200,0.01,0.01,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,1,3,3,8,800,-0.035,0.035,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,1,4,4,10,400,0.02,0.02,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
4,1,4,4,c2link,0.3,0.0,100,2,1,2,6,1200,0.03166666666666667,0.03166666666666667,1.0,1.0,0.50625,"{""cycle_2"": 810, ""identity"": 790}","{""C2"": 1246, ""trivial"": 354}"
