graph_id,cycle_id,length,observers,min_edge_mi_bits,mean_edge_mi_bits,product_edge_score,live_cycle,edge_pairs
0,0,3,0 2 3,0.35221700146248214,0.46908451134658263,0.0977466516032489,1,0-2 2-3 0-3
6,0,3,0 1 2,0.1260916844949751,0.30115061921966557,0.012822879393375066,1,0-1 1-2 0-2
7,0,3,0 1 2,0.01129088702212977,0.1895301597615977,0.00018462549927456904,0,0-1 1-2 0-2
8,0,4,0 1 2 3,0.3112781244591334,0.7869827594600284,0.13566517676957782,1,0-1 1-2 2-3 0-3
12,0,4,0 1 4 3,0.0970836625809608,0.4909190976421822,0.007166880750635989,1,0-1 1-4 3-4 0-3
15,0,3,0 1 2,0.030020155358267964,0.0608595785344462,0.00017455145969797652,0,0-1 1-2 0-2
17,0,3,1 2 4,0.05519815167809483,0.24601747213711148,0.0030116922120651903,1,1-2 2-4 1-4
20,0,3,0 1 2,0.07200671776696677,0.1235417822839054,0.00126077137459373,1,0-1 1-2 0-2
24,0,3,1 2 3,0.04460809455385695,0.20403110320032392,0.0019216063625107625,0,1-2 2-3 1-3
27,0,3,0 2 4,0.04269552550120448,0.44421120852227824,0.017365790873432853,0,0-2 2-4 0-4
30,0,3,1 2 3,0.7272170014624826,0.927417844679916,0.5797231902071633,1,1-2 2-3 1-3
32,0,3,0 2 4,0.09946825331051024,0.15659616064992635,0.0027600428500205616,1,0-2 2-4 0-4
34,0,3,2 3 4,0.2152227751718261,0.43281783746450825,0.06312390616226511,1,2-3 3-4 2-4
35,0,3,0 2 3,0.050833928331330824,0.25801051959912485,0.0028333464522488686,1,0-2 2-3 0-3
41,0,3,0 2 4,0.0035410429286155676,0.022119802323773346,3.450741400132493e-06,0,0-2 2-4 0-4
48,0,3,2 3 4,0.2578560636920493,0.400663417281077,0.057455699492691616,1,2-3 3-4 2-4
51,0,3,1 3 4,0.07001444968067627,0.14003220232697267,0.0018643367179311554,1,1-3 3-4 1-4
52,0,4,0 2 1 3,0.12020038055073234,0.3050524893830686,0.004177112555395198,1,0-2 1-2 1-3 0-3
54,0,3,1 2 4,0.1278256472787085,0.22882497398154097,0.008603113039671182,1,1-2 2-4 1-4
56,0,3,1 2 4,0.12377554509704636,0.3370472893720196,0.023650058142437688,1,1-2 2-4 1-4
56,1,3,2 3 4,0.03165992193767986,0.3338388725136953,0.007009471075026197,0,2-3 3-4 2-4
56,2,4,1 2 3 4,0.03165992193767986,0.31934477434382424,0.0012265144480833854,0,1-2 2-3 3-4 1-4
57,0,3,0 1 2,0.12009468969025328,0.48727422853197916,0.053483700918315405,1,0-1 1-2 0-2
57,1,3,0 2 3,0.007268029522421671,0.4244325282235651,0.0008728517501548303,0,0-2 2-3 0-3
57,2,4,0 1 2 3,0.007268029522421671,0.6237327227215316,0.003236788556140759,0,0-1 1-2 2-3 0-3
62,0,4,0 2 4 3,0.13195742635284136,0.5174625056555391,0.028988986329256207,1,0-2 2-4 3-4 0-3
63,0,3,0 1 4,0.112157753507522,0.3549758133577785,0.02521242963415184,1,0-1 1-4 0-4
63,1,3,0 3 4,0.038968341020308994,0.22735003410100493,0.0023204573108274134,0,0-3 3-4 0-4
63,2,4,0 1 4 3,0.038968341020308994,0.38066550884032657,0.004650821575405619,0,0-1 1-4 3-4 0-3
68,0,3,1 2 4,0.14255288913968256,0.39426123678073416,0.03281215418823187,1,1-2 2-4 1-4
69,0,4,0 2 1 3,0.09370403400168481,0.4704260782019455,0.01853072561664448,1,0-2 1-2 1-3 0-3
69,1,4,0 2 4 3,0.09370403400168481,0.3921193210956083,0.009859116924422548,1,0-2 2-4 3-4 0-3
69,2,4,1 2 4 3,0.31127812445913294,0.5145848815654701,0.05737303742064781,1,1-2 2-4 3-4 1-3
70,0,3,1 2 3,0.375,0.5098794284306156,0.12317710242287695,1,1-2 2-3 1-3
77,0,3,0 1 2,0.023122697374224455,0.058089322850432,6.979196005515123e-05,0,0-1 1-2 0-2
77,1,4,0 1 3 4,0.023122697374224455,0.07212589515467738,7.4604846083688134e-06,0,0-1 1-3 3-4 0-4
77,2,5,0 2 1 3 4,0.0236795531941274,0.08330523088431133,9.738575679429419e-07,0,0-2 1-2 1-3 3-4 0-4
78,0,3,0 1 4,0.06003301624604207,0.28933470018650054,0.007287713386728361,1,0-1 1-4 0-4
78,1,3,0 3 4,0.06003301624604207,0.16593194792415847,0.002435795143846536,1,0-3 3-4 0-4
78,2,4,0 1 4 3,0.13323788284120042,0.3114334779599732,0.0049255157952786885,1,0-1 1-4 3-4 0-3
83,0,3,0 1 4,0.6022170014624821,0.6458843406832172,0.26638205647523255,1,0-1 1-4 0-4
88,0,3,0 1 2,0.31127812445913294,0.4074775864293068,0.06321885714500017,1,0-1 1-2 0-2
88,1,3,0 1 3,0.029635940492431345,0.25906406313689906,0.004024674411947495,0,0-1 1-3 0-3
88,2,4,0 2 1 3,0.029635940492431345,0.34426717494508796,0.0026259121398296997,0,0-2 1-2 1-3 0-3
91,0,3,0 1 2,0.29473671780348276,0.677956001949977,0.2227748128712215,1,0-1 1-2 0-2
97,0,3,2 3 4,0.09183143785561576,0.1879640666047043,0.004756573924422086,1,2-3 3-4 2-4
