graph_id,source_observer,target_observer,n_edges,source_boundary_nodes,target_boundary_nodes,edge_mi_bits,edge_mi_norm,edge_h_input_bits,live_edge,edges
0,2,0,1,1,1,0.5550365325772657,0.27751826628863285,2.0,1,12->0
0,3,0,1,1,1,0.5,0.25,2.0,1,10->2
0,3,2,1,1,1,0.35221700146248214,0.17610850073124107,2.0,1,11->12
0,4,1,1,1,1,0.29879494069539847,0.14939747034769923,2.0,1,17->5
0,4,2,2,1,2,0.30389658872634495,0.15194829436317248,2.0,1,17->13 17->14
1,2,0,2,2,2,0.12014629065991134,0.030036572664977834,4.0,1,7->1 6->3
1,2,1,1,1,1,0.3050365325772657,0.15251826628863285,2.0,1,4->12
1,3,0,2,2,2,0.5180801335534575,0.12952003338836438,4.0,1,11->1 8->3
2,1,0,1,1,1,0.06163886799513696,0.03081943399756848,2.0,1,11->16
2,2,1,1,1,1,0.6022170014624826,0.3011085007312413,2.0,1,14->8
2,3,2,1,1,1,0.727217001462483,0.3636085007312415,2.0,1,3->14
3,1,0,1,1,1,0.45443400292496516,0.22721700146248258,2.0,1,1->4
3,2,0,1,1,1,0.04883811591553444,0.02441905795776722,2.0,0,8->5
4,1,0,1,1,1,0.5078560636920493,0.25392803184602464,2.0,1,3->16
4,4,1,1,1,1,0.6800365325772657,0.34001826628863285,2.0,1,6->2
4,4,2,1,1,1,0.41973671780348276,0.20986835890174138,2.0,1,7->8
4,4,3,1,1,1,0.3278195311147831,0.16390976555739156,2.0,1,4->14
5,1,0,1,1,1,0.646782221599798,0.323391110799899,2.0,1,0->7
5,3,0,1,1,1,0.40563906222956625,0.20281953111478312,2.0,1,14->6
5,4,3,1,1,1,0.8215779392329163,0.41078896961645817,2.0,1,17->14
6,1,0,1,1,1,0.1260916844949751,0.06304584224748755,2.0,1,0->8
6,2,0,2,2,2,0.1664699959144258,0.04161749897860645,4.0,1,7->10 6->11
6,2,1,2,2,1,0.6108901772495958,0.15272254431239896,4.0,1,4->1 5->1
6,4,0,1,1,1,0.02899371749171653,0.014496858745858265,2.0,0,16->11
7,1,0,1,1,1,0.01129088702212977,0.005645443511064885,2.0,0,17->5
7,2,0,1,1,1,0.031073581319001953,0.015536790659500976,2.0,0,1->5
7,2,1,2,1,2,0.5262260109436614,0.2631130054718307,2.0,1,2->15 2->17
8,1,0,1,1,1,0.3112781244591334,0.1556390622295667,2.0,1,15->0
8,2,1,2,2,1,0.7852324064893343,0.1963081016223336,4.0,1,9->16 10->16
8,3,0,2,2,2,1.49638397431438,0.374095993578595,4.0,1,7->1 5->3
8,3,2,1,1,1,0.5550365325772657,0.27751826628863285,2.0,1,7->8
