graph_id,observer_id,size,is_whole,genuine_feedback,boundary_in_edges,boundary_out_edges,boundary_total_edges,boundary_in_nodes,boundary_targets,boundary_mi_bits,boundary_mi_norm,boundary_h_input_bits,live_boundary,vertices
0,0,1,0,0,3,0,3,3,1,1.9166159218625491,0.3194359869770915,6.0,1,0
0,1,1,0,0,3,0,3,3,1,1.992939903591381,0.33215665059856353,6.0,1,4
0,2,1,0,0,2,1,3,2,1,1.748999223062281,0.43724980576557027,4.0,1,12
0,3,11,0,1,5,5,10,4,4,1.5318169226754197,0.19147711533442746,8.0,1,1 2 3 5 6 7 9 11 15 16 17
0,4,1,0,0,0,2,2,0,0,0.0,0.0,0.0,0,8
0,5,1,0,0,0,1,1,0,0,0.0,0.0,0.0,0,10
0,6,1,0,0,0,1,1,0,0,0.0,0.0,0.0,0,13
0,7,1,0,0,0,3,3,0,0,0.0,0.0,0.0,0,14
1,0,1,0,0,1,0,1,1,1,0.8112781244591329,0.40563906222956647,2.0,1,11
1,1,17,0,1,0,1,1,0,0,0.0,0.0,0.0,0,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17
2,0,15,0,1,8,0,8,2,8,3.855320428455176,0.963830107113794,4.0,1,1 2 3 4 5 6 8 9 10 12 13 14 15 16 17
2,1,1,0,0,0,5,5,0,0,0.0,0.0,0.0,0,0
2,2,1,0,0,1,0,1,1,1,1.5,0.75,2.0,1,11
2,3,1,0,0,0,4,4,0,0,0.0,0.0,0.0,0,7
3,0,1,0,0,3,0,3,3,1,1.9226673650971549,0.32044456084952583,6.0,1,0
3,1,1,0,0,2,0,2,2,1,1.8496017527145812,0.4624004381786453,4.0,1,10
3,2,11,0,1,5,3,8,4,5,2.351833539771743,0.29397919247146787,8.0,1,2 4 5 6 9 11 12 13 14 15 16
3,3,1,0,0,1,3,4,1,1,1.5,0.75,2.0,1,3
3,4,1,0,0,2,1,3,2,1,1.649397470347699,0.41234936758692475,4.0,1,17
3,5,1,0,0,1,2,3,1,1,1.5,0.75,2.0,1,7
3,6,1,0,0,0,3,3,0,0,0.0,0.0,0.0,0,1
3,7,1,0,0,0,2,2,0,0,0.0,0.0,0.0,0,8
