graph_id,cycle_id,length,observers,min_edge_mi_bits,mean_edge_mi_bits,product_edge_score,live_cycle,edge_pairs
0,0,3,0 3 4,0.013901116458403528,0.2466937803638345,0.0011244766785435255,0,0-3 3-4 0-4
0,1,3,1 2 3,0.12671099538806496,0.6684637218077719,0.01643200187381188,1,1-2 2-3 1-3
0,2,3,1 3 7,0.12671099538806496,0.14392782978480012,0.0029159777380479745,1,1-3 3-7 1-7
0,3,4,1 2 3 7,0.12968094697296983,0.5459381660003966,0.0029843247088703548,1,1-2 2-3 3-7 1-7
3,0,3,1 2 3,0.05783691687839809,0.3356801407691868,0.009412774513389153,1,1-2 2-3 1-3
3,1,3,2 4 5,0.274397470347699,0.35047350229721497,0.04139911337363393,1,2-4 4-5 2-5
3,2,3,2 4 7,0.2283763608424909,0.37297233018680725,0.04474225381647116,1,2-4 4-7 2-7
3,3,4,0 2 3 6,0.05783691687839809,0.5640489266750845,0.0026166825437175982,1,0-2 2-3 3-6 0-6
3,4,4,0 2 5 6,0.07226095583956926,0.644649901191522,0.01720301766716274,1,0-2 2-5 5-6 0-6
3,5,4,2 3 6 5,0.05783691687839809,0.8595194329556365,0.02199195640769903,1,2-3 3-6 5-6 2-5
3,6,4,2 5 4 7,0.2283763608424909,0.34419326356311764,0.01176534015496458,1,2-5 4-5 4-7 2-7
3,7,5,0 2 1 3 6,0.07226095583956926,0.6295124590502205,0.007363061441598908,1,0-2 1-2 1-3 3-6 0-6
3,8,5,0 2 4 5 6,0.07226095583956926,0.5739076963538874,0.004925816297646428,1,0-2 2-4 4-5 5-6 0-6
3,9,5,1 2 5 6 3,0.22460175271458116,0.8658888640746619,0.06188298486556061,1,1-2 2-5 5-6 3-6 1-3
3,10,5,2 3 6 5 4,0.05783691687839809,0.745803321765179,0.006297054353257551,1,2-3 3-6 5-6 4-5 2-4
3,11,6,0 2 7 4 5 6,0.07226095583956926,0.5324818381883771,0.0013998827404740483,1,0-2 2-7 4-7 4-5 5-6 0-6
3,12,6,1 2 4 5 6 3,0.22460175271458116,0.7700638662294432,0.017719229340770637,1,1-2 2-4 4-5 5-6 3-6 1-3
3,13,6,2 3 6 5 4 7,0.05783691687839809,0.6757281926977868,0.001789579061071384,1,2-3 3-6 5-6 4-5 4-7 2-7
5,0,3,0 2 7,0.030203987860867976,0.09951454781569972,0.0005357003496169842,0,0-2 2-7 0-7
5,1,3,1 2 7,0.017620375438561098,0.063832826899898,6.207880593532584e-05,0,1-2 2-7 1-7
5,2,3,1 2 10,0.017620375438561098,0.05989524905618963,8.485631987312841e-05,0,1-2 2-10 1-10
5,3,3,2 7 15,0.1504628489315034,0.5005596911520889,0.06511790108091439,1,2-7 7-15 2-15
5,4,3,3 11 14,0.015608319493469303,0.5113911370043329,0.0002897698798623132,0,3-11 11-14 3-14
5,5,3,3 14 15,0.015608319493469303,0.5120971996629763,0.0003228312345378571,0,3-14 14-15 3-15
5,6,4,0 2 1 7,0.017620375438561098,0.04727910657094658,1.4689490180733052e-06,0,0-2 1-2 1-7 0-7
5,7,4,0 2 15 7,0.030203987860867976,0.37482425476008974,0.0015408620609013931,0,0-2 2-15 7-15 0-7
5,8,4,1 2 5 6,0.017620375438561098,0.41693783528249295,4.234193941150034e-05,0,1-2 2-5 5-6 1-6
5,9,4,1 2 15 6,0.017620375438561098,0.28995900306398814,0.00010086031713014515,0,1-2 2-15 6-15 1-6
5,10,4,1 2 15 7,0.017620375438561098,0.34806296407323845,0.00017856041520263196,0,1-2 2-15 7-15 1-7
5,11,4,1 6 15 7,0.01821641375511085,0.368320668618047,0.00021305741131339727,0,1-6 6-15 7-15 1-7
5,12,4,1 7 2 10,0.023415256329629486,0.08398586924778517,1.6966694198484815e-05,0,1-7 2-7 2-10 1-10
5,13,4,2 5 6 15,0.13191455193629986,0.6889784437496451,0.0414509984739533,1,2-5 5-6 6-15 2-15
5,14,4,3 4 6 15,0.013054413181333047,0.31720268945783103,0.00010290458195993923,0,3-4 4-6 6-15 3-15
5,15,4,3 11 7 15,0.018565091519529453,0.29952909421622986,0.0001049220467584545,0,3-11 7-11 7-15 3-15
5,16,4,3 11 14 15,0.018565091519529453,0.7598120927537473,0.0003839869767572158,0,3-11 11-14 14-15 3-15
5,17,4,6 13 14 15,0.5550365325772657,1.164313383509937,0.3342524363508145,1,6-13 13-14 14-15 6-15
5,18,4,7 11 14 15,0.32943400292496516,1.0397170014624826,0.2732437637456485,1,7-11 11-14 14-15 7-15
5,19,5,0 2 10 1 7,0.023415256329629486,0.0667122845150466,4.0147693576418806e-07,0,0-2 2-10 1-10 1-7 0-7
5,20,5,1 2 7 15 6,0.017620375438561098,0.3235901285025246,2.412360273536656e-05,0,1-2 2-7 7-15 6-15 1-6
5,21,5,1 6 5 2 7,0.01821641375511085,0.3648018141905087,8.466107637472457e-06,0,1-6 5-6 2-5 2-7 1-7
5,22,5,1 6 5 2 10,0.01821641375511085,0.3624392674842837,1.1572431636557822e-05,0,1-6 5-6 2-5 2-10 1-10
5,23,5,1 6 15 2 7,0.01821641375511085,0.26321874841570486,2.0166631784974234e-05,0,1-6 6-15 2-15 2-7 1-7
5,24,5,1 6 15 2 10,0.01821641375511085,0.2608562017094799,2.7566028884192486e-05,0,1-6 6-15 2-15 2-10 1-10
5,25,5,1 7 15 2 10,0.023415256329629486,0.3073393705168801,4.880216226861345e-05,0,1-7 7-15 2-15 2-10 1-10
5,26,5,2 5 6 15 7,0.13191455193629986,0.6428056810510502,0.00991418080591252,1,2-5 5-6 6-15 7-15 2-7
5,27,5,2 7 11 3 15,0.018565091519529453,0.20818548889425115,9.931239988601844e-06,0,2-7 7-11 3-11 3-15 2-15
5,28,5,2 7 11 14 15,0.1504628489315034,0.8003358146912533,0.025863481289057074,1,2-7 7-11 11-14 14-15 2-15
5,29,5,3 4 6 13 14,0.013054413181333047,0.6433110657888234,7.157148290740713e-05,0,3-4 4-6 6-13 13-14 3-14
5,30,5,3 4 6 15 14,0.013054413181333047,0.5527471595658667,7.765536374080377e-05,0,3-4 4-6 6-15 14-15 3-14
5,31,5,3 11 7 15 14,0.015608319493469303,0.5386082833725858,7.917781259370286e-05,0,3-11 7-11 7-15 14-15 3-14
5,32,5,3 14 11 7 15,0.015608319493469303,0.5390319209677719,8.821162157977828e-05,0,3-14 11-14 7-11 7-15 3-15
5,33,5,3 14 13 6 15,0.015608319493469303,0.6387090266057355,0.00010790712667441995,0,3-14 13-14 6-13 6-15 3-15
5,34,6,0 2 1 6 4 9,0.017620375438561098,0.22184234037169617,4.4541924499088554e-07,0,0-2 1-2 1-6 4-6 4-9 0-9
5,35,6,0 2 1 6 15 7,0.017620375438561098,0.2692614313494526,5.708283530360594e-07,0,0-2 1-2 1-6 6-15 7-15 0-7
5,36,6,0 2 5 6 1 7,0.01821641375511085,0.303604502756106,2.003305365429271e-07,0,0-2 2-5 5-6 1-6 1-7 0-7
5,37,6,0 2 5 6 4 9,0.03662831899767971,0.48785530082880085,0.00018305586349250515,0,0-2 2-5 5-6 4-6 4-9 0-9
5,38,6,0 2 5 6 15 7,0.030203987860867976,0.5352743918065572,0.00023459578418790289,0,0-2 2-5 5-6 6-15 7-15 0-7
5,39,6,0 2 15 3 4 9,0.013054413181333047,0.20298018393684117,3.089242667995319e-07,0,0-2 2-15 3-15 3-4 4-9 0-9
5,40,6,0 2 15 3 11 7,0.018565091519529453,0.173090898342558,2.3499944964639637e-07,0,0-2 2-15 3-15 3-11 7-11 0-7
5,41,6,0 2 15 6 1 7,0.01821641375511085,0.21895194794376946,4.771959368749143e-07,0,0-2 2-15 6-15 1-6 1-7 0-7
5,42,6,0 2 15 6 4 9,0.03662831899767971,0.4032027460164643,0.0004360469241843925,0,0-2 2-15 6-15 4-6 4-9 0-9
5,43,6,0 2 15 14 11 7,0.030203987860867976,0.6665495031733931,0.0006119984891961061,0,0-2 2-15 14-15 11-14 7-11 0-7
5,44,6,0 7 1 6 4 9,0.01821641375511085,0.20819601738789761,1.5166614952679649e-07,0,0-7 1-7 1-6 4-6 4-9 0-9
5,45,6,0 7 11 3 4 9,0.013054413181333047,0.1559569796960707,4.485850432743251e-08,0,0-7 7-11 3-11 3-4 4-9 0-9
5,46,6,0 7 15 3 4 9,0.013054413181333047,0.23964334435872572,1.2582893113894977e-07,0,0-7 7-15 3-15 3-4 4-9 0-9
5,47,6,0 7 15 6 4 9,0.030203987860867976,0.43986590643834883,0.00017760766729327043,0,0-7 7-15 6-15 4-6 4-9 0-9
5,48,6,1 2 5 6 15 7,0.017620375438561098,0.5174335313486563,2.7185769376964165e-05,0,1-2 2-5 5-6 6-15 7-15 1-7
5,49,6,1 2 15 3 4 6,0.013054413181333047,0.2040354611937186,2.8618641729404768e-08,0,1-2 2-15 3-15 3-4 4-6 1-6
5,50,6,1 2 15 3 11 7,0.017620375438561098,0.15525003788465716,2.7232547523886282e-08,0,1-2 2-15 3-15 3-11 7-11 1-7
5,51,6,1 2 15 14 11 7,0.017620375438561098,0.6487086427154923,7.092049775715352e-05,0,1-2 2-15 14-15 11-14 7-11 1-7
5,52,6,1 2 15 14 13 6,0.017620375438561098,0.7687759238951225,9.295845278132143e-05,0,1-2 2-15 14-15 13-14 6-13 1-6
