graph_id,source_observer,target_observer,source_nodes,target_nodes,n_micro_edges,shared_classes,residual_bits,residual_qcoords,label_entropy_bits,transport_mi_norm,deterministic_accuracy,live_quotient
0,2,0,12,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
0,3,0,10,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
0,4,1,17,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
0,3,2,11,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
0,4,2,17,13 14,2,1,0.0,0.0,-0.0,0.0,1.0,0
1,2,0,6 7,1 3,2,1,0.0,0.0,-0.0,0.0,1.0,0
1,3,0,8 11,1 3,2,1,0.0,0.0,-0.0,0.0,1.0,0
1,2,1,4,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
2,2,1,14,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
2,3,2,3,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
2,1,0,11,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
3,1,0,1,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
3,2,0,8,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
4,4,1,6,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
4,4,2,7,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
4,4,3,4,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
4,1,0,3,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
5,3,0,14,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
5,1,0,0,7,1,1,0.0,0.0,-0.0,0.0,1.0,0
5,4,3,17,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
6,2,1,4 5,1,2,1,0.0,0.0,-0.0,0.0,1.0,0
6,1,0,0,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
6,2,0,6 7,10 11,2,1,0.0,0.0,-0.0,0.0,1.0,0
6,4,0,16,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
7,2,0,1,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
7,1,0,17,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
7,2,1,2,15 17,2,1,0.0,0.0,-0.0,0.0,1.0,0
8,1,0,15,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
8,3,0,5 7,1 3,2,1,0.0,0.0,-0.0,0.0,1.0,0
8,3,2,7,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
8,2,1,9 10,16,2,1,0.0,0.0,-0.0,0.0,1.0,0
9,2,0,3,7,1,1,0.0,0.0,-0.0,0.0,1.0,0
9,2,1,0,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
9,4,1,16 17,9 11,2,1,0.0,0.0,-0.0,0.0,1.0,0
10,4,3,17,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
10,1,0,1,13,1,1,0.0,0.0,-0.0,0.0,1.0,0
11,3,0,13 14,8 10,2,1,0.0,0.0,-0.0,0.0,1.0,0
11,1,0,3,9 10,2,1,0.0,0.0,-0.0,0.0,1.0,0
11,2,0,5,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
12,4,1,17,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
12,4,3,15 16,5,2,1,0.0,0.0,-0.0,0.0,1.0,0
12,3,2,5,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
12,1,0,3,13,1,1,0.0,0.0,-0.0,0.0,1.0,0
12,3,0,4,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
13,1,0,1,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
13,4,2,17,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
13,3,2,12 14,11,2,1,0.0,0.0,-0.0,0.0,1.0,0
14,1,0,2,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
14,4,0,9 11,12 13,2,1,0.0,0.0,-0.0,0.0,1.0,0
14,3,0,6,13,1,1,0.0,0.0,-0.0,0.0,1.0,0
14,3,2,6 7,15 17,2,1,0.0,0.0,-0.0,0.0,1.0,0
15,4,0,4,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
15,1,0,12 13,8 9,2,1,0.0,0.0,-0.0,0.0,1.0,0
15,2,0,0,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
15,2,1,1,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
15,4,3,5 6,15 16,2,1,0.0,0.0,-0.0,0.0,1.0,0
16,3,1,12,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
16,4,2,17,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
17,4,2,14,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
17,3,2,6,10,1,1,0.0,0.0,-0.0,0.0,1.0,0
17,2,1,8,15 16,2,1,0.0,0.0,-0.0,0.0,1.0,0
17,4,1,13 14,16,2,1,0.0,0.0,-0.0,0.0,1.0,0
18,2,1,6,1,1,1,0.0,0.0,-0.0,0.0,1.0,0
18,1,0,1 2,8 10,2,1,0.0,0.0,-0.0,0.0,1.0,0
18,4,0,15 16,8 11,2,1,0.0,0.0,-0.0,0.0,1.0,0
18,4,3,15,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
19,3,2,5,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
19,2,1,14,17,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,2,1,13,3,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,1,0,0,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,2,0,12 13,5 7,2,1,0.0,0.0,-0.0,0.0,1.0,0
20,4,0,16,7,1,1,0.0,0.0,-0.0,0.0,1.0,0
20,3,2,10,13,1,1,0.0,0.0,-0.0,0.0,1.0,0
21,2,0,11,2 3,2,1,0.0,0.0,-0.0,0.0,1.0,0
21,3,2,4 5,10 11,2,1,0.0,0.0,-0.0,0.0,1.0,0
21,4,2,13,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
21,2,1,11,15,1,1,0.0,0.0,-0.0,0.0,1.0,0
22,4,2,12,4 7,2,1,0.0,0.0,-0.0,0.0,1.0,0
22,3,0,11,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
22,1,0,3,17,1,1,0.0,0.0,-0.0,0.0,1.0,0
23,1,0,4 6,0 1,2,1,0.0,0.0,-0.0,0.0,1.0,0
23,3,0,14,1 3,2,1,0.0,0.0,-0.0,0.0,1.0,0
23,4,2,15 16,9 10,2,1,0.0,0.0,-0.0,0.0,1.0,0
24,3,2,4,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
24,2,1,8,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
24,3,1,4,13,1,1,0.0,0.0,-0.0,0.0,1.0,0
24,4,1,16,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
25,3,2,2,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
25,1,0,16,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
25,2,1,7,15 17,2,1,0.0,0.0,-0.0,0.0,1.0,0
26,4,3,8,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
