usable_diamond,valid_transport_cycle,valid_holonomy,nontrivial_holonomy,min_edge_classes,min_edge_residual_bits,min_edge_transport,local_map_accuracy,holonomy_type,generated_group,group_order,source_observer,sink_observer,path1,path2,graph_id,cycle_id,length,observers,min_observer_edge_mi_bits,mean_observer_edge_mi_bits
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 2 0,3 0,0,0,3,0 2 3,0.35221700146248214,0.46908451134658263
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,2.0,0.0,2 1 0,2 0,6,0,3,0 1 2,0.1260916844949751,0.30115061921966557
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 2 1 0,3 0,8,0,4,0 1 2 3,0.3112781244591334,0.7869827594600284
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,1.0,3 2 1,3 1,30,0,3,1 2 3,0.7272170014624826,0.927417844679916
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,2.0,4 3 2,4 2,34,0,3,2 3 4,0.2152227751718261,0.43281783746450825
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,2.0,4 3 2,4 2,48,0,3,2 3 4,0.2578560636920493,0.400663417281077
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,52,0,4,0 2 1 3,0.12020038055073234,0.3050524893830686
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,1.0,4 2 1,4 1,54,0,3,1 2 4,0.1278256472787085,0.22882497398154097
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,1.0,4 2 1,4 1,56,0,3,1 2 4,0.12377554509704636,0.3370472893720196
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,2.0,0.0,2 1 0,2 0,57,0,3,0 1 2,0.12009468969025328,0.48727422853197916
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,0.0,4 2 0,4 3 0,62,0,4,0 2 4 3,0.13195742635284136,0.5174625056555391
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,0.0,4 1 0,4 0,63,0,3,0 1 4,0.112157753507522,0.3549758133577785
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,1.0,4 2 1,4 1,68,0,3,1 2 4,0.14255288913968256,0.39426123678073416
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,1.0,4 2 1,4 3 1,69,2,4,1 2 4 3,0.31127812445913294,0.5145848815654701
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,1.0,3 2 1,3 1,70,0,3,1 2 3,0.375,0.5098794284306156
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,0.0,4 1 0,4 3 0,78,2,4,0 1 4 3,0.13323788284120042,0.3114334779599732
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,0.0,4 1 0,4 0,83,0,3,0 1 4,0.6022170014624821,0.6458843406832172
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,2.0,0.0,2 1 0,2 0,88,0,3,0 1 2,0.31127812445913294,0.4074775864293068
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,2.0,0.0,2 1 0,2 0,91,0,3,0 1 2,0.29473671780348276,0.677956001949977
