graph_id,source_observer,target_observer,source_nodes,target_nodes,n_micro_edges,shared_classes,residual_bits,residual_qcoords,label_entropy_bits,transport_mi_norm,deterministic_accuracy,live_quotient
0,3,1,6 7,2,2,1,0.0,0.0,-0.0,0.0,1.0,0
0,3,2,6,3 4,2,1,0.0,0.0,-0.0,0.0,1.0,0
0,1,0,0,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
0,3,0,7 8,11,2,1,0.0,0.0,-0.0,0.0,1.0,0
1,2,1,8,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
1,3,1,3,1,1,1,0.0,0.0,-0.0,0.0,1.0,0
1,3,2,3,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
1,2,0,6,9 11,2,1,0.0,0.0,-0.0,0.0,1.0,0
1,1,0,1 2,10,2,1,0.0,0.0,-0.0,0.0,1.0,0
1,3,0,5,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
2,2,1,4,0,1,1,0.0,0.0,-0.0,0.0,1.0,0
2,3,1,7,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
2,2,0,3 5,9,2,1,0.0,0.0,-0.0,0.0,1.0,0
2,3,0,6 8,9 10,2,1,0.0,0.0,-0.0,0.0,1.0,0
2,1,0,1,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
3,2,0,1,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
3,3,0,4,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
3,2,1,0,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
3,3,1,3 4,10 11,2,1,0.0,0.0,-0.0,0.0,1.0,0
4,4,1,0,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
4,5,1,5,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
4,2,1,8,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
4,1,0,6,7,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
4,4,2,1,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
4,5,2,5,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
4,3,2,10 11,8,2,1,0.0,0.0,-0.0,0.0,1.0,0
4,4,3,0,10,1,1,0.0,0.0,-0.0,0.0,1.0,0
5,2,0,0 2,3 4,2,1,0.0,0.0,-0.0,0.0,1.0,0
5,3,0,7,3,1,1,0.0,0.0,-0.0,0.0,1.0,0
5,2,1,1,10,1,1,0.0,0.0,-0.0,0.0,1.0,0
6,3,0,0,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
6,1,0,10 11,4 5,2,1,0.0,0.0,-0.0,0.0,1.0,0
6,2,0,6,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
6,3,2,0 1,6,2,1,0.0,0.0,-0.0,0.0,1.0,0
6,3,1,1 2,10 11,2,1,0.0,0.0,-0.0,0.0,1.0,0
7,3,2,0,3 5,2,1,0.0,0.0,-0.0,0.0,1.0,0
7,3,0,0,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
7,2,0,5,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
7,1,0,11,7,1,1,0.0,0.0,-0.0,0.0,1.0,0
7,3,1,1,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
