usable_diamond,valid_transport_cycle,valid_holonomy,nontrivial_holonomy,min_edge_classes,min_edge_residual_bits,min_edge_transport,local_map_accuracy,holonomy_type,generated_group,group_order,source_observer,sink_observer,path1,path2,graph_id,cycle_id,length,observers,min_observer_edge_mi_bits,mean_observer_edge_mi_bits
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 1 0,3 0,0,0,3,0 1 3,0.03188870582640746,0.2525777076800102
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,2.0,0.0,2 1 0,2 0,1,0,3,0 1 2,0.09751667997996272,0.3450879076917828
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 1 0,3 0,1,1,3,0 1 3,0.09751667997996272,0.2761363132306511
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 2 0,3 0,1,2,3,0 2 3,0.17585572713472475,0.3560122577183586
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,1.0,3 2 1,3 1,1,3,3,1 2 3,0.45443400292496516,0.5031568451674103
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 2 1 0,3 0,1,4,4,0 1 2 3,0.09751667997996272,0.30695160250991316
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 1 0,3 2 0,1,5,4,0 1 3 2,0.09751667997996272,0.38618356464439485
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,1,6,4,0 2 1 3,0.17585572713472475,0.41715982570184407
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,2.0,0.0,2 1 0,2 0,2,0,3,0 1 2,0.1377208878993681,0.47830045226152834
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 1 0,3 0,2,1,3,0 1 3,0.2917416406797244,0.5063195473807357
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,2,2,4,0 2 1 3,0.1377208878993681,0.33987476528908955
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,3,0,4,0 2 1 3,0.010686151687314904,0.37020896073099063
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,1.0,4 2 1,4 1,4,0,3,1 2 4,0.024769363307493908,0.08119909047554079
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,5.0,1.0,5 2 1,5 1,4,1,3,1 2 5,0.042549323342590206,0.08175388795500578
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,2.0,4 3 2,4 2,4,2,3,2 3 4,0.024769363307493908,0.15554563239640876
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,1.0,4 3 2 1,4 1,4,3,4,1 2 3 4,0.09850737304901802,0.1651738605002152
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,4,4,4,1 4 2 5,0.024769363307493908,0.06659966083488633
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,4,5,5,1 4 3 2 5,0.042549323342590206,0.13669936278275677
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 1 0,3 0,6,0,3,0 1 3,0.22102623244144093,0.41370189644368915
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 2 0,3 0,6,1,3,0 2 3,0.10334393107613637,0.30571999414596923
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 1 0,3 2 0,6,2,4,0 1 3 2,0.10334393107613637,0.42905330172152334
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 1 0,3 0,7,0,3,0 1 3,0.024518918294044845,0.446618421881698
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 2 0,3 0,7,1,3,0 2 3,0.01993184757087363,0.4266470166724374
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 1 0,3 2 0,7,2,4,0 1 3 2,0.01993184757087363,0.6426896197685791
