source_joint,target_joint,count,source_visible,target_visible,source_quotient,target_quotient,visible_moved,quotient_moved
0,1,1,0,1,0,5,1,1
0,2,1,0,2,0,1,1,1
0,3,2,0,1,0,5,1,1
0,4,2,0,2,0,1,1,1
0,5,1,0,2,0,1,1,1
0,6,1,0,2,0,1,1,1
0,7,2,0,2,0,1,1,1
0,8,1,0,1,0,5,1,1
0,9,1,0,2,0,1,1,1
0,10,1,0,2,0,1,1,1
0,11,1,0,2,0,1,1,1
0,12,1,0,2,0,1,1,1
0,13,1,0,2,0,1,1,1
14,15,2,3,4,2,3,1,1
14,16,2,3,2,2,1,1,1
14,17,1,3,5,2,4,1,1
14,18,1,3,6,2,18,1,1
14,19,1,3,2,2,1,1,1
14,20,1,3,1,2,5,1,1
14,21,1,3,4,2,3,1,1
14,22,2,3,2,2,1,1,1
14,23,1,3,2,2,1,1,1
14,24,1,3,2,2,1,1,1
14,25,1,3,1,2,5,1,1
14,26,1,3,1,2,5,1,1
14,27,1,3,2,2,1,1,1
28,29,1,7,8,6,7,1,1
28,30,6,7,9,6,8,1,1
28,31,1,7,4,6,3,1,1
28,32,1,7,10,6,17,1,1
28,33,1,7,8,6,7,1,1
28,34,1,7,9,6,8,1,1
28,35,1,7,11,6,9,1,1
28,36,1,7,9,6,8,1,1
28,37,1,7,12,6,10,1,1
28,38,1,7,8,6,7,1,1
28,39,1,7,12,6,10,1,1
40,29,1,13,8,11,7,1,1
40,30,1,13,9,11,8,1,1
40,32,1,13,10,11,17,1,1
40,34,1,13,9,11,8,1,1
40,37,1,13,12,11,10,1,1
40,38,1,13,8,11,7,1,1
40,41,2,13,9,11,8,1,1
40,42,1,13,4,11,3,1,1
40,43,1,13,9,11,8,1,1
40,44,1,13,8,11,7,1,1
40,45,1,13,6,11,18,1,1
40,46,1,13,9,11,8,1,1
40,47,1,13,9,11,8,1,1
40,48,1,13,9,11,8,1,1
40,49,1,13,12,11,10,1,1
50,29,1,14,8,12,7,1,1
50,51,2,14,2,12,1,1,1
50,52,1,14,5,12,13,1,1
50,53,1,14,10,12,17,1,1
50,54,1,14,2,12,1,1,1
50,55,1,14,2,12,1,1,1
50,56,1,14,8,12,7,1,1
50,57,2,14,2,12,1,1,1
50,58,1,14,2,12,1,1,1
50,59,1,14,2,12,1,1,1
50,60,1,14,2,12,1,1,1
50,61,1,14,1,12,5,1,1
50,62,1,14,2,12,1,1,1
50,63,1,14,8,12,7,1,1
64,1,1,12,1,14,5,1,1
64,65,1,12,3,14,20,1,1
64,66,1,12,10,14,17,1,1
64,67,1,12,5,14,15,1,1
64,68,1,12,8,14,7,1,1
64,69,1,12,8,14,7,1,1
64,70,1,12,1,14,5,1,1
64,71,2,12,3,14,20,1,1
64,72,1,12,8,14,7,1,1
64,73,1,12,3,14,20,1,1
64,74,1,12,8,14,7,1,1
64,75,1,12,8,14,7,1,1
64,76,1,12,8,14,7,1,1
64,77,1,12,1,14,5,1,1
64,78,1,12,3,14,20,1,1
79,80,1,15,10,16,17,1,1
79,81,1,15,16,16,28,1,1
79,82,1,15,6,16,18,1,1
79,83,1,15,10,16,17,1,1
79,84,1,15,16,16,28,1,1
79,85,1,15,17,16,26,1,1
79,86,1,15,10,16,17,1,1
79,87,1,15,16,16,28,1,1
79,88,1,15,9,16,8,1,1
79,89,1,15,10,16,17,1,1
79,90,1,15,9,16,8,1,1
79,91,1,15,16,16,28,1,1
79,92,1,15,9,16,8,1,1
79,93,1,15,6,16,18,1,1
79,94,1,15,10,16,17,1,1
79,95,1,15,12,16,10,1,1
96,69,1,12,8,19,7,1,1
96,75,2,12,8,19,7,1,1
96,97,2,12,6,19,18,1,1
96,98,1,12,3,19,20,1,1
96,99,1,12,10,19,17,1,1
96,100,1,12,4,19,3,1,1
96,101,1,12,8,19,7,1,1
96,102,1,12,6,19,18,1,1
96,103,2,12,3,19,20,1,1
96,104,1,12,8,19,7,1,1
96,105,1,12,3,19,20,1,1
96,106,1,12,8,19,7,1,1
96,107,1,12,3,19,20,1,1
108,26,1,6,1,21,5,1,1
108,109,1,6,1,21,5,1,1
108,110,1,6,6,21,18,0,1
108,111,1,6,6,21,18,0,1
108,112,2,6,6,21,18,0,1
108,113,2,6,6,21,18,0,1
108,114,1,6,1,21,5,1,1
108,115,2,6,6,21,18,0,1
108,116,2,6,6,21,18,0,1
108,117,1,6,6,21,18,0,1
108,118,1,6,6,21,18,0,1
108,119,1,6,1,21,5,1,1
120,75,1,17,8,22,7,1,1
120,97,2,17,6,22,18,1,1
120,99,1,17,10,22,17,1,1
120,121,2,17,8,22,7,1,1
120,122,1,17,4,22,3,1,1
120,123,1,17,8,22,7,1,1
120,124,1,17,18,22,23,1,1
120,125,1,17,12,22,10,1,1
120,126,2,17,3,22,20,1,1
120,127,1,17,8,22,7,1,1
120,128,1,17,3,22,20,1,1
120,129,1,17,18,22,23,1,1
120,130,1,17,8,22,7,1,1
131,15,1,12,4,24,3,1,1
131,75,1,12,8,24,7,1,1
131,82,2,12,6,24,18,1,1
131,132,3,12,6,24,18,1,1
131,133,1,12,10,24,17,1,1
131,134,1,12,6,24,18,1,1
131,135,1,12,8,24,7,1,1
131,136,1,12,6,24,18,1,1
131,137,1,12,6,24,18,1,1
131,138,1,12,6,24,18,1,1
131,139,1,12,6,24,18,1,1
131,140,1,12,8,24,7,1,1
131,141,1,12,6,24,18,1,1
142,48,1,19,9,25,8,1,1
142,143,1,19,6,25,18,1,1
142,144,1,19,17,25,26,1,1
142,145,1,19,6,25,18,1,1
142,146,1,19,6,25,18,1,1
142,147,2,19,17,25,26,1,1
142,148,1,19,6,25,18,1,1
142,149,1,19,9,25,8,1,1
142,150,1,19,9,25,8,1,1
142,151,1,19,6,25,18,1,1
142,152,1,19,9,25,8,1,1
142,153,1,19,17,25,26,1,1
142,154,1,19,6,25,18,1,1
142,155,1,19,6,25,18,1,1
142,156,1,19,6,25,18,1,1
157,80,1,20,10,27,17,1,1
157,92,1,20,9,27,8,1,1
157,158,1,20,6,27,18,1,1
157,159,2,20,9,27,8,1,1
157,160,1,20,12,27,10,1,1
157,161,2,20,16,27,28,1,1
157,162,1,20,12,27,10,1,1
157,163,1,20,16,27,28,1,1
157,164,1,20,6,27,18,1,1
157,165,1,20,9,27,8,1,1
157,166,1,20,9,27,8,1,1
157,167,1,20,10,27,17,1,1
157,168,1,20,6,27,18,1,1
157,169,1,20,12,27,10,1,1
170,124,1,21,18,29,23,1,1
170,128,1,21,3,29,20,1,1
170,130,1,21,8,29,7,1,1
170,171,2,21,10,29,17,1,1
170,172,1,21,4,29,3,1,1
170,173,1,21,18,29,23,1,1
170,174,1,21,4,29,3,1,1
170,175,1,21,10,29,17,1,1
170,176,2,21,22,29,57,1,1
170,177,1,21,8,29,7,1,1
170,178,1,21,4,29,3,1,1
170,179,1,21,8,29,7,1,1
170,180,1,21,10,29,17,1,1
170,181,1,21,4,29,3,1,1
182,183,1,6,10,30,17,1,1
182,184,1,6,6,30,18,0,1
182,185,1,6,10,30,17,1,1
182,186,2,6,10,30,17,1,1
182,187,2,6,6,30,18,0,1
182,188,1,6,10,30,17,1,1
182,189,1,6,6,30,18,0,1
182,190,2,6,11,30,31,1,1
182,191,1,6,6,30,18,0,1
182,192,1,6,6,30,18,0,1
182,193,1,6,10,30,17,1,1
182,194,1,6,10,30,17,1,1
182,195,1,6,10,30,17,1,1
196,30,1,23,9,32,8,1,1
196,82,1,23,6,32,18,1,1
196,87,1,23,16,32,28,1,1
196,90,1,23,9,32,8,1,1
196,146,1,23,6,32,18,1,1
196,147,1,23,17,32,26,1,1
196,154,1,23,6,32,18,1,1
