kB,kA,q,w,horizon,phase_mode,phase_protocol,phase_vertex,observer_init,n_phase_labels,phase_labels,phase_entropy_bits,phase_mi_bits_uniform,phase_capacity_bits,phase_zero_error_code_size,phase_zero_error_exact,phase_zero_error_bits,memory_bits,cut_bits,physical_bound_bits,phase_mi_over_entropy,phase_capacity_over_entropy,phase_capacity_per_boundary_symbol,bulk_capacity_bits,bulk_zero_error_bits,logRecB_bits,phase_capacity_over_bulk_capacity,phase_capacity_over_volume,n_rec_B,n_A_states,n_joint_states,n_schedules,nontrivial_sccs,interface,seed,instance,extra_B,extra_A
2,3,4,1,1,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29874,0,2,3
2,3,4,1,1,erased_value,first,0,zero,1,"(3,)",0.0,0.0,0.0,1,True,0.0,6.0,2.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29874,0,2,3
2,3,4,1,3,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29874,0,2,3
2,3,4,1,3,erased_value,first,0,zero,1,"(3,)",0.0,0.0,0.0,1,True,0.0,6.0,6.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29874,0,2,3
2,3,4,1,6,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29874,0,2,3
2,3,4,1,6,erased_value,first,0,zero,1,"(3,)",0.0,0.0,0.0,1,True,0.0,6.0,12.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29874,0,2,3
2,3,4,1,1,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.2719056326962595,0.0,2.0,0.0,0.0,4,64,1024,12,2,"((0, 0),)",29875,1,2,3
2,3,4,1,1,erased_value,first,0,zero,2,"(1, 2)",1.0,0.0,0.0,1,True,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.2719056326962595,0.0,2.0,0.0,0.0,4,64,1024,12,2,"((0, 0),)",29875,1,2,3
2,3,4,1,3,cut,first,0,zero,2,"(0, 1)",1.0,0.0027860660595669397,0.002786739490346058,1,True,0.0,6.0,6.0,1.0,0.0027860660595669397,0.002786739490346058,0.001393369745173029,0.054185428870467484,0.0,2.0,0.0514296841131935,0.001393369745173029,4,64,1024,12,2,"((0, 0),)",29875,1,2,3
2,3,4,1,3,erased_value,first,0,zero,2,"(1, 2)",1.0,0.0,0.0,1,True,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.054185428870467484,0.0,2.0,0.0,0.0,4,64,1024,12,2,"((0, 0),)",29875,1,2,3
2,3,4,1,6,cut,first,0,zero,2,"(0, 1)",1.0,0.00018030561500638552,0.00018030590596932784,1,True,0.0,6.0,12.0,1.0,0.00018030561500638552,0.00018030590596932784,9.015295298466392e-05,0.01005219469774708,0.0,2.0,0.017936969128715584,9.015295298466392e-05,4,64,1024,12,2,"((0, 0),)",29875,1,2,3
2,3,4,1,6,erased_value,first,0,zero,2,"(1, 2)",1.0,0.0,0.0,1,True,0.0,6.0,12.0,1.0,0.0,0.0,0.0,0.01005219469774708,0.0,2.0,0.0,0.0,4,64,1024,12,2,"((0, 0),)",29875,1,2,3
2,3,4,1,1,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0277677576598943,1.0,1.584962500721156,0.0,0.0,3,64,1024,12,2,"((0, 0),)",29876,2,2,3
2,3,4,1,1,erased_value,first,0,zero,3,"(0, 1, 2)",1.584962500721156,0.9819206689281925,1.0277677576598943,2,True,1.0,6.0,2.0,1.584962500721156,0.6195229656735852,0.6484492580690465,0.5138838788299471,1.0277677576598943,1.0,1.584962500721156,1.0,0.6484492580690465,3,64,1024,12,2,"((0, 0),)",29876,2,2,3
2,3,4,1,3,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.687018417691383,0.0,1.584962500721156,0.0,0.0,3,64,1024,12,2,"((0, 0),)",29876,2,2,3
2,3,4,1,3,erased_value,first,0,zero,3,"(0, 1, 2)",1.584962500721156,0.5939166807781847,0.6870184176913829,1,True,0.0,6.0,6.0,1.584962500721156,0.37471970504535806,0.4334603609730769,0.34350920884569147,0.687018417691383,0.0,1.584962500721156,0.9999999999999999,0.4334603609730769,3,64,1024,12,2,"((0, 0),)",29876,2,2,3
2,3,4,1,6,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,12.0,1.0,0.0,0.0,0.0,0.8223364424558093,0.0,1.584962500721156,0.0,0.0,3,64,1024,12,2,"((0, 0),)",29876,2,2,3
2,3,4,1,6,erased_value,first,0,zero,3,"(0, 1, 2)",1.584962500721156,0.6364835302930504,0.8223364424558093,1,True,0.0,6.0,12.0,1.584962500721156,0.40157639692008557,0.5188365289914728,0.41116822122790464,0.8223364424558093,0.0,1.584962500721156,1.0,0.5188365289914728,3,64,1024,12,2,"((0, 0),)",29876,2,2,3
2,3,4,1,1,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29877,3,2,3
2,3,4,1,1,erased_value,first,0,zero,1,"(2,)",0.0,0.0,0.0,1,True,0.0,6.0,2.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29877,3,2,3
2,3,4,1,3,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29877,3,2,3
2,3,4,1,3,erased_value,first,0,zero,1,"(2,)",0.0,0.0,0.0,1,True,0.0,6.0,6.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29877,3,2,3
2,3,4,1,6,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29877,3,2,3
2,3,4,1,6,erased_value,first,0,zero,1,"(2,)",0.0,0.0,0.0,1,True,0.0,6.0,12.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29877,3,2,3
2,3,4,1,1,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29878,4,2,3
2,3,4,1,1,erased_value,first,0,zero,1,"(3,)",0.0,0.0,0.0,1,True,0.0,6.0,2.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29878,4,2,3
2,3,4,1,3,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29878,4,2,3
2,3,4,1,3,erased_value,first,0,zero,1,"(3,)",0.0,0.0,0.0,1,True,0.0,6.0,6.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29878,4,2,3
2,3,4,1,6,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29878,4,2,3
2,3,4,1,6,erased_value,first,0,zero,1,"(3,)",0.0,0.0,0.0,1,True,0.0,6.0,12.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0),)",29878,4,2,3
2,3,4,1,1,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0192485529897612,0.0,2.584962500721156,0.0,0.0,6,64,1024,12,2,"((0, 0),)",29879,5,2,3
2,3,4,1,1,erased_value,first,0,zero,4,"(0, 1, 2, 3)",2.0,0.8385707091280326,0.9002237223701853,1,True,0.0,6.0,2.0,2.0,0.4192853545640163,0.45011186118509267,0.45011186118509267,1.0192485529897612,0.0,2.584962500721156,0.8832229584526361,0.34825407413803483,6,64,1024,12,2,"((0, 0),)",29879,5,2,3
2,3,4,1,3,cut,first,0,zero,2,"(0, 1)",1.0,0.0006981137666839782,0.0006981317030532624,1,True,0.0,6.0,6.0,1.0,0.0006981137666839782,0.0006981317030532624,0.0003490658515266312,0.666290100288847,0.0,2.584962500721156,0.001047789397967359,0.00027007420914558597,6,64,1024,12,2,"((0, 0),)",29879,5,2,3
2,3,4,1,3,erased_value,first,0,zero,4,"(0, 1, 2, 3)",2.0,0.5535976539662939,0.6501168891443723,1,True,0.0,6.0,6.0,2.0,0.27679882698314695,0.32505844457218613,0.32505844457218613,0.666290100288847,0.0,2.584962500721156,0.9757264723917353,0.25149954359608767,6,64,1024,12,2,"((0, 0),)",29879,5,2,3
2,3,4,1,6,cut,first,0,zero,2,"(0, 1)",1.0,0.00014907009904350238,0.00014907119945628102,1,True,0.0,6.0,12.0,1.0,0.00014907009904350238,0.00014907119945628102,7.453559972814051e-05,0.6421707813021412,0.0,2.584962500721156,0.00023213637835406756,5.7668611987482586e-05,6,64,1024,12,2,"((0, 0),)",29879,5,2,3
