instance,rule_ensemble,k,q,horizon,A,B,U,A_size,B_size,U_size,raw_cancellation_ok,seam_edge_count,recurrent_state_count,local_pair_count,union_class_count,ambiguous_pair_count,gluing_accuracy,residual_entropy_bits,defect_candidate,A_vertices,B_vertices,U_vertices
0,observer_parity_pair,5,4,1,"(0, 3)","(1, 2)","(0, 1, 2, 3)",2,2,4,True,2,16,2,2,0,1.0,0.0,False,"[0, 3]","[1, 2]","[0, 1, 2, 3]"
0,observer_parity_pair,5,4,1,"(0, 4)","(1, 2)","(0, 1, 2, 4)",2,2,4,True,2,16,2,2,0,1.0,0.0,False,"[0, 4]","[1, 2]","[0, 1, 2, 4]"
0,observer_parity_pair,5,4,1,"(0,)","(1, 2)","(0, 1, 2)",1,2,3,True,1,16,2,2,0,1.0,0.0,False,[0],"[1, 2]","[0, 1, 2]"
0,observer_parity_pair,5,4,1,"(0, 2)","(1, 3)","(0, 1, 2, 3)",2,2,4,True,1,16,2,2,0,1.0,0.0,False,"[0, 2]","[1, 3]","[0, 1, 2, 3]"
0,observer_parity_pair,5,4,1,"(0, 2)","(1, 4)","(0, 1, 2, 4)",2,2,4,True,1,16,2,2,0,1.0,0.0,False,"[0, 2]","[1, 4]","[0, 1, 2, 4]"
0,observer_parity_pair,5,4,1,"(0, 3)","(1, 4)","(0, 1, 3, 4)",2,2,4,True,1,16,2,2,0,1.0,0.0,False,"[0, 3]","[1, 4]","[0, 1, 3, 4]"
0,observer_parity_pair,5,4,1,"(0, 4)","(1, 3)","(0, 1, 3, 4)",2,2,4,True,1,16,2,2,0,1.0,0.0,False,"[0, 4]","[1, 3]","[0, 1, 3, 4]"
0,observer_parity_pair,5,4,1,"(0,)","(1, 3)","(0, 1, 3)",1,2,3,True,0,16,2,2,0,1.0,0.0,False,[0],"[1, 3]","[0, 1, 3]"
0,observer_parity_pair,5,4,1,"(0,)","(1, 4)","(0, 1, 4)",1,2,3,True,0,16,2,2,0,1.0,0.0,False,[0],"[1, 4]","[0, 1, 4]"
1,observer_parity_pair,5,4,1,"(0, 3)","(1, 2)","(0, 1, 2, 3)",2,2,4,True,2,16,2,2,0,1.0,0.0,False,"[0, 3]","[1, 2]","[0, 1, 2, 3]"
1,observer_parity_pair,5,4,1,"(0, 4)","(1, 2)","(0, 1, 2, 4)",2,2,4,True,2,16,2,2,0,1.0,0.0,False,"[0, 4]","[1, 2]","[0, 1, 2, 4]"
1,observer_parity_pair,5,4,1,"(0,)","(1, 2)","(0, 1, 2)",1,2,3,True,1,16,2,2,0,1.0,0.0,False,[0],"[1, 2]","[0, 1, 2]"
1,observer_parity_pair,5,4,1,"(0, 2)","(1, 3)","(0, 1, 2, 3)",2,2,4,True,1,16,2,2,0,1.0,0.0,False,"[0, 2]","[1, 3]","[0, 1, 2, 3]"
1,observer_parity_pair,5,4,1,"(0, 2)","(1, 4)","(0, 1, 2, 4)",2,2,4,True,1,16,2,2,0,1.0,0.0,False,"[0, 2]","[1, 4]","[0, 1, 2, 4]"
1,observer_parity_pair,5,4,1,"(0, 3)","(1, 4)","(0, 1, 3, 4)",2,2,4,True,1,16,2,2,0,1.0,0.0,False,"[0, 3]","[1, 4]","[0, 1, 3, 4]"
1,observer_parity_pair,5,4,1,"(0, 4)","(1, 3)","(0, 1, 3, 4)",2,2,4,True,1,16,2,2,0,1.0,0.0,False,"[0, 4]","[1, 3]","[0, 1, 3, 4]"
1,observer_parity_pair,5,4,1,"(0,)","(1, 3)","(0, 1, 3)",1,2,3,True,0,16,2,2,0,1.0,0.0,False,[0],"[1, 3]","[0, 1, 3]"
1,observer_parity_pair,5,4,1,"(0,)","(1, 4)","(0, 1, 4)",1,2,3,True,0,16,2,2,0,1.0,0.0,False,[0],"[1, 4]","[0, 1, 4]"
0,random_scc,5,4,1,"(0, 2)","(3, 4)","(0, 2, 3, 4)",2,2,4,True,4,250,1,1,0,1.0,0.0,False,"[0, 2]","[3, 4]","[0, 2, 3, 4]"
