instance,rule_ensemble,k,q,horizon,A,B,U,A_size,B_size,U_size,raw_cancellation_ok,seam_edge_count,recurrent_state_count,local_pair_count,union_class_count,ambiguous_pair_count,gluing_accuracy,residual_entropy_bits,defect_candidate,A_vertices,B_vertices,U_vertices
0,random_scc,10,2,2,"(0, 7, 8)","(2, 6, 9)","(0, 2, 6, 7, 8, 9)",3,3,6,True,4,14,1,1,0,1.0,0.0,False,"[0, 7, 8]","[2, 6, 9]","[0, 2, 6, 7, 8, 9]"
0,random_scc,10,2,2,"(0, 7, 8)","(1, 2, 6)","(0, 1, 2, 6, 7, 8)",3,3,6,True,3,14,1,1,0,1.0,0.0,False,"[0, 7, 8]","[1, 2, 6]","[0, 1, 2, 6, 7, 8]"
0,random_scc,10,2,2,"(0, 7, 8)","(5, 6, 9)","(0, 5, 6, 7, 8, 9)",3,3,6,True,3,14,1,1,0,1.0,0.0,False,"[0, 7, 8]","[5, 6, 9]","[0, 5, 6, 7, 8, 9]"
0,random_scc,10,2,2,"(2, 6)","(0, 7, 8)","(0, 2, 6, 7, 8)",2,3,5,True,2,14,1,1,0,1.0,0.0,False,"[2, 6]","[0, 7, 8]","[0, 2, 6, 7, 8]"
0,random_scc,10,2,2,"(0, 7, 8)","(1, 5, 6)","(0, 1, 5, 6, 7, 8)",3,3,6,True,2,14,1,1,0,1.0,0.0,False,"[0, 7, 8]","[1, 5, 6]","[0, 1, 5, 6, 7, 8]"
0,random_scc,10,2,2,"(0, 7, 8)","(2, 3, 6)","(0, 2, 3, 6, 7, 8)",3,3,6,True,2,14,1,1,0,1.0,0.0,False,"[0, 7, 8]","[2, 3, 6]","[0, 2, 3, 6, 7, 8]"
0,random_scc,10,2,2,"(0, 7, 8)","(2, 4, 6)","(0, 2, 4, 6, 7, 8)",3,3,6,True,2,14,1,1,0,1.0,0.0,False,"[0, 7, 8]","[2, 4, 6]","[0, 2, 4, 6, 7, 8]"
0,random_scc,10,2,2,"(0, 7, 8)","(2, 5, 6)","(0, 2, 5, 6, 7, 8)",3,3,6,True,2,14,1,1,0,1.0,0.0,False,"[0, 7, 8]","[2, 5, 6]","[0, 2, 5, 6, 7, 8]"
0,random_scc,10,2,2,"(5, 6)","(0, 7, 8)","(0, 5, 6, 7, 8)",2,3,5,True,1,14,1,1,0,1.0,0.0,False,"[5, 6]","[0, 7, 8]","[0, 5, 6, 7, 8]"
0,random_scc,10,2,2,"(0, 7, 8)","(3, 5, 6)","(0, 3, 5, 6, 7, 8)",3,3,6,True,1,14,1,1,0,1.0,0.0,False,"[0, 7, 8]","[3, 5, 6]","[0, 3, 5, 6, 7, 8]"
0,random_scc,10,2,2,"(0, 7, 8)","(4, 5, 6)","(0, 4, 5, 6, 7, 8)",3,3,6,True,1,14,1,1,0,1.0,0.0,False,"[0, 7, 8]","[4, 5, 6]","[0, 4, 5, 6, 7, 8]"
1,random_scc,10,2,2,"(0, 3, 4)","(1, 2, 9)","(0, 1, 2, 3, 4, 9)",3,3,6,True,6,2,2,2,0,1.0,0.0,False,"[0, 3, 4]","[1, 2, 9]","[0, 1, 2, 3, 4, 9]"
1,random_scc,10,2,2,"(0, 3, 4)","(1, 2, 5)","(0, 1, 2, 3, 4, 5)",3,3,6,True,5,2,2,2,0,1.0,0.0,False,"[0, 3, 4]","[1, 2, 5]","[0, 1, 2, 3, 4, 5]"
1,random_scc,10,2,2,"(0, 3, 4)","(1, 2, 8)","(0, 1, 2, 3, 4, 8)",3,3,6,True,5,2,2,2,0,1.0,0.0,False,"[0, 3, 4]","[1, 2, 8]","[0, 1, 2, 3, 4, 8]"
1,random_scc,10,2,2,"(0, 8, 9)","(1, 2, 7)","(0, 1, 2, 7, 8, 9)",3,3,6,True,5,2,2,2,0,1.0,0.0,False,"[0, 8, 9]","[1, 2, 7]","[0, 1, 2, 7, 8, 9]"
1,random_scc,10,2,2,"(1, 2, 9)","(3, 4, 8)","(1, 2, 3, 4, 8, 9)",3,3,6,True,5,2,2,2,0,1.0,0.0,False,"[1, 2, 9]","[3, 4, 8]","[1, 2, 3, 4, 8, 9]"
1,random_scc,10,2,2,"(1, 2)","(0, 3, 4)","(0, 1, 2, 3, 4)",2,3,5,True,4,2,2,2,0,1.0,0.0,False,"[1, 2]","[0, 3, 4]","[0, 1, 2, 3, 4]"
1,random_scc,10,2,2,"(0, 1, 2)","(3, 4, 8)","(0, 1, 2, 3, 4, 8)",3,3,6,True,4,2,2,2,0,1.0,0.0,False,"[0, 1, 2]","[3, 4, 8]","[0, 1, 2, 3, 4, 8]"
1,random_scc,10,2,2,"(0, 3, 4)","(1, 2, 6)","(0, 1, 2, 3, 4, 6)",3,3,6,True,4,2,2,2,0,1.0,0.0,False,"[0, 3, 4]","[1, 2, 6]","[0, 1, 2, 3, 4, 6]"
1,random_scc,10,2,2,"(0, 3, 4)","(1, 2, 7)","(0, 1, 2, 3, 4, 7)",3,3,6,True,4,2,2,2,0,1.0,0.0,False,"[0, 3, 4]","[1, 2, 7]","[0, 1, 2, 3, 4, 7]"
1,random_scc,10,2,2,"(0, 8, 9)","(1, 2, 3)","(0, 1, 2, 3, 8, 9)",3,3,6,True,4,2,2,2,0,1.0,0.0,False,"[0, 8, 9]","[1, 2, 3]","[0, 1, 2, 3, 8, 9]"
