instance,rule_ensemble,k,q,horizon,n_schedules,observer,observer_size,raw_boundary_size,incoming_boundary_size,outgoing_boundary_size,exterior_support_size,interior_support_size,n_recurrent_states,boundary_label_classes,boundary_label_entropy_bits,boundary_quotient_size,boundary_quotient_entropy_bits,boundary_nontrivial,boundary_binary_c2_like,boundary_mi_bits,zero_error_code_size,zero_error_exact,signature_classes,singleton_output_fraction,mean_output_set_size,live_site_count,live_site_fraction,effective_edge_count,effective_cycle_rank,observer_vertices,exterior_support,live_sites,effective_edges
0,random_scc,8,2,2,64,"(0, 1, 2, 3, 4, 5, 6, 7)",8,0,0,0,0,0,0,1,0.0,1,0.0,False,False,0.0,1,True,1,0.0,0.0,0,0.0,0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",[],[],[]
0,random_scc,8,2,2,64,"(2, 3)",2,5,2,3,5,2,131,28,4.661099724563767,1,-0.0,False,False,0.0,1,True,2,0.03571428571428571,3.892857142857143,0,0.0,0,0,"[2, 3]","[0, 1, 4, 5, 7]",[],[]
0,random_scc,8,2,2,64,"(4, 5)",2,4,3,1,3,2,131,8,2.9443087338349376,1,-0.0,False,False,0.0,1,True,1,0.0,4.0,0,0.0,0,0,"[4, 5]","[0, 3, 6]",[],[]
0,random_scc,8,2,2,64,"(0, 1, 7)",3,6,2,4,4,3,131,16,3.9406174589256167,1,-0.0,False,False,0.0,1,True,1,0.0,8.0,0,0.0,0,0,"[0, 1, 7]","[2, 3, 4, 6]",[],[]
0,random_scc,8,2,2,64,"(0, 2, 3)",3,8,3,5,5,3,131,32,4.761743595136549,1,-0.0,False,False,0.0,1,True,3,0.0,7.59375,0,0.0,0,0,"[0, 2, 3]","[1, 4, 5, 6, 7]",[],[]
0,random_scc,8,2,2,64,"(0, 4, 5)",3,7,4,3,4,3,131,16,3.812378078125223,1,-0.0,False,False,0.0,1,True,1,0.0,8.0,0,0.0,0,0,"[0, 4, 5]","[1, 3, 6, 7]",[],[]
0,random_scc,8,2,2,64,"(0, 6, 7)",3,6,3,3,5,3,131,32,4.851844191332064,1,-0.0,False,False,0.0,1,True,2,0.0,7.8125,0,0.0,0,0,"[0, 6, 7]","[1, 2, 3, 4, 5]",[],[]
0,random_scc,8,2,2,64,"(1, 2, 3)",3,6,2,4,4,3,131,15,3.730449837475162,1,-0.0,False,False,0.0,1,True,2,0.0,7.8,0,0.0,0,0,"[1, 2, 3]","[0, 4, 5, 7]",[],[]
0,random_scc,8,2,2,64,"(1, 4, 5)",3,7,4,3,5,3,131,26,4.601044550322344,1,-0.0,False,False,0.0,1,True,1,0.0,8.0,0,0.0,0,0,"[1, 4, 5]","[0, 2, 3, 6, 7]",[],[]
0,random_scc,8,2,2,64,"(2, 3, 4)",3,7,4,3,4,3,131,15,3.755771281521083,1,-0.0,False,False,0.0,1,True,2,0.06666666666666667,7.533333333333333,0,0.0,0,0,"[2, 3, 4]","[0, 1, 5, 7]",[],[]
