eq_alphabet_size_per_side,eq_n_observed_pairs,eq_edge_density,eq_shared_classes,eq_residual_qcoords,eq_residual_bits,eq_cost_qcoords,eq_cost_bits,eq_class_sizes_left,eq_class_sizes_right,eq_observed_left_words,eq_observed_right_words,eq_mode,eq_shared_classes_mean,eq_shared_classes_min,eq_edge_density_mean,eq_residual_per_width,eq_cost_per_width,kB,kC,kD,kM,kA,k_total,q,w,n_initial_states,n_schedules,initial_pool,observer_init,extra_B,extra_C,extra_D,extra_A,eq_hidden_A_cost_qcoords,eq_hidden_A_cost_bits,eq_panel_cost_qcoords,eq_panel_residual_qcoords,product_sink_cost_qcoords,product_sink_cost_bits,product_cost_A_qcoords,product_cost_A_panel_qcoords,product_hidden_A_cost_qcoords,product_collapsed_vertices,product_fully_collapsed_vertices,product_admissibility_merges,overcollapse_avoided_qcoords,hidden_collapse_avoided_qcoords,equalizer_cost_fraction_of_product_A,rule_interface_mi_norm_mean,rule_interface_mi_bits_mean,rule_interface_copy_accuracy_mean,rule_interface_cond_entropy_bits_mean,rule_interface_output_entropy_bits_mean,rule_interface_n,rule_interface_roles,rule_ensemble,mutation_rate,selected,selection_threshold_qcoords,seed,instance,n_blocks
4,[12],0.75,[1],0.0,0.0,2.0,4.0,[4],[4],4,4,joint,1.0,1,0.75,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.41713511896136646,0.8342702379227329,0.6375,1.0061278124459132,1.8403980503686461,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065501,0,2
4,[7],0.4375,[1],0.0,0.0,2.0,4.0,[3],[4],3,4,joint,1.0,1,0.4375,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.27848791002359946,0.5569758200471989,0.6,1.0655639062229567,1.6225397262701555,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065502,1,2
4,[6],0.375,[1],0.0,0.0,2.0,4.0,[3],[3],3,3,joint,1.0,1,0.375,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.42542400380064294,0.8508480076012859,0.65,0.9839473435606964,1.8347953511619821,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065503,2,2
4,[9],0.5625,[1],0.0,0.0,2.0,4.0,[4],[3],4,3,joint,1.0,1,0.5625,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.382726095138336,0.765452190276672,0.675,0.9433834373377398,1.7088356276144119,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065504,3,2
4,[6],0.375,[1],0.0,0.0,2.0,4.0,[3],[4],3,4,joint,1.0,1,0.375,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.2500613694872462,0.5001227389744924,0.575,1.2155639062229566,1.715686645197449,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065505,4,2
4,[9],0.5625,[1],0.0,0.0,2.0,4.0,[4],[4],4,4,joint,1.0,1,0.5625,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3652194534210113,0.7304389068420226,0.65,0.9372556248918265,1.667694531733849,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065506,5,2
4,[12],0.75,[1],0.0,0.0,2.0,4.0,[4],[4],4,4,joint,1.0,1,0.75,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.21641088207940767,0.43282176415881535,0.5625,1.25,1.6828217641588155,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065507,6,2
4,[8],0.5,[1],0.0,0.0,2.0,4.0,[3],[3],3,3,joint,1.0,1,0.5,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.34354488451875803,0.6870897690375161,0.6375,1.0622556248918265,1.7493453939293424,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065508,7,2
4,[7],0.4375,[1],0.0,0.0,2.0,4.0,[3],[4],3,4,joint,1.0,1,0.4375,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.2588472658669246,0.5176945317338492,0.6,1.0966917186688698,1.614386250402719,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065509,8,2
4,[11],0.6875,[1],0.0,0.0,2.0,4.0,[4],[4],4,4,joint,1.0,1,0.6875,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.34254094125055806,0.6850818825011161,0.65,0.9872556248918265,1.6723375073929425,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065510,9,2
4,[9],0.5625,[1],0.0,0.0,2.0,4.0,[4],[4],4,4,joint,1.0,1,0.5625,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.31169283519088614,0.6233856703817723,0.6125,1.0561278124459132,1.6795134828276854,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065511,10,2
4,[5],0.3125,[1],0.0,0.0,2.0,4.0,[3],[2],3,2,joint,1.0,1,0.3125,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3561891819331595,0.712378363866319,0.625,1.0966917186688698,1.8090700825351889,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065512,11,2
4,[13],0.8125,[1],0.0,0.0,2.0,4.0,[4],[4],4,4,joint,1.0,1,0.8125,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3352830696334945,0.670566139266989,0.6125,1.0966917186688698,1.7672578579358589,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065513,12,2
4,[7],0.4375,[1],0.0,0.0,2.0,4.0,[3],[4],3,4,joint,1.0,1,0.4375,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3698202728491443,0.7396405456982886,0.6375,0.9966917186688701,1.7363322643671584,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065514,13,2
