classes_by_vertex,vertex_costs_qcoords,quotient_dim_qcoords,quotient_cost_qcoords,quotient_cost_bits,collapsed_vertices,fully_collapsed_vertices,cost_B_qcoords,cost_B_bits,cost_C_qcoords,cost_C_bits,cost_D_qcoords,cost_D_bits,cost_A_qcoords,cost_A_bits,cost_A_panel_qcoords,cost_A_panel_bits,constraint_mode,initial_pool,observer_init,close_admissibility,kB,kC,kD,kA,kM,k_total,q,w,n_initial_states,n_schedules,branch_order_seed_merges,sink_seed_merges,strict_schedule_seed_merges,admissibility_merges,admissibility_iterations,extra_B,extra_C,extra_D,extra_A,seed,instance
"[4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,2,2,8,4,1,4096,32,0,0,0,0,1,2,2,2,2,11905,0
"[4, 4, 4, 4, 4, 4, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",6.0,2.0,4.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,2,2,8,4,1,4096,32,0,3,0,0,1,2,2,2,2,11905,0
"[2, 2, 2, 3, 1, 1, 1, 1]","[0.5, 0.5, 0.5, 0.20751874963942185, 1.0, 1.0, 1.0, 1.0]",2.292481250360578,5.707518749639422,11.415037499278844,8,4,1.0,2.0,0.7075187496394219,1.4150374992788437,2.0,4.0,2.0,4.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,2,2,8,4,1,4096,32,0,0,19,0,1,2,2,2,2,11905,0
"[4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,2,2,8,4,1,4096,32,0,0,0,0,1,2,2,2,2,11906,1
"[4, 4, 4, 4, 4, 4, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",6.0,2.0,4.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,2,2,8,4,1,4096,32,0,3,0,0,1,2,2,2,2,11906,1
"[2, 2, 1, 2, 1, 2, 1, 1]","[0.5, 0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 1.0]",2.0,6.0,12.0,8,4,1.0,2.0,1.5,3.0,1.5,3.0,2.0,4.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,2,2,8,4,1,4096,32,0,0,20,0,1,2,2,2,2,11906,1
"[4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,2,2,8,4,1,4096,32,0,0,0,0,1,2,2,2,2,11907,2
"[4, 4, 4, 4, 4, 4, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",6.0,2.0,4.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,sink_equal,all,zero,True,2,2,2,2,2,8,4,1,4096,32,0,3,0,0,1,2,2,2,2,11907,2
"[2, 3, 1, 2, 2, 2, 1, 1]","[0.5, 0.20751874963942185, 1.0, 0.5, 0.5, 0.5, 1.0, 1.0]",2.792481250360578,5.207518749639422,10.415037499278844,8,3,0.7075187496394219,1.4150374992788437,1.5,3.0,1.0,2.0,2.0,4.0,2.0,4.0,strict_schedule,all,zero,True,2,2,2,2,2,8,4,1,4096,32,0,0,18,0,1,2,2,2,2,11907,2
"[4, 4, 4, 4, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branch_order,all,zero,True,2,2,2,2,2,8,4,1,4096,32,0,0,0,0,1,2,2,2,2,11908,3
