kB,kM,kA,q,w,k_total,rule_ensemble,mutation_rate,initial_mode,n_initial_states,source_for_liveness,s1_shared_classes,s2_shared_classes,s1_residual_qcoords,s2_residual_qcoords,s1_edge_density,s2_edge_density,H_source_bits,H_s1_bits,H_s2_bits,transport_mi_bits,transport_mi_over_Hs1,transport_mi_over_Hs2,source_to_s1_mi_bits,source_to_s2_mi_bits,source_to_s1_mi_over_Hs1,source_to_s2_mi_over_Hs2,s1_to_s2_best_accuracy,s2_to_s1_best_accuracy,s1_s2_variation_of_information_norm,transport_selected,live_transport_selected,seed,instance
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.6875,0.6875,0.813591602417356,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332724,0
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,2,1,0.5,0.0,0.5,0.6875,1.493628017586737,0.9970915381957525,-0.0,0.0,0.0,0.0,0.028449266584313015,0.0,0.028532251548129935,0.0,1.0,0.53173828125,1.0,False,False,3332725,1
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.75,0.6875,1.99970759080836,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332726,2
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.625,0.75,1.4969314906612634,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332727,3
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.75,0.6875,1.4975105171578198,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332728,4
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.6875,0.6875,0.9999442769036946,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332729,5
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.8125,0.75,1.9993164108825914,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332730,6
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.5,0.625,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332731,7
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.5625,0.75,0.8062088623272913,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332732,8
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.4375,0.6875,0.8193034825167733,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332733,9
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.4375,0.75,0.9999938086157121,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332734,10
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.625,0.625,0.8226816783731583,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332735,11
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.5625,0.75,1.5040862740771974,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332736,12
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.6875,0.6875,1.490451868853324,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332737,13
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.6875,0.5625,1.4957956569660245,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332738,14
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.875,0.6875,1.5099168017625724,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332739,15
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.625,0.6875,1.5075601784129131,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332740,16
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.75,0.625,0.8285974959212521,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332741,17
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.625,0.75,1.491498998582929,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332742,18
2,2,2,4,1,14,random,0.0,joint_random,4096,postB,1,1,0.0,0.0,0.375,0.75,0.9999752343565644,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3332743,19
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.75,0.6875,0.8026536195349327,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336124,0
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.5625,0.6875,0.9999662911378919,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336125,1
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.5625,0.625,1.9991691483493583,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336126,2
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.75,0.625,0.8151247802758806,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336127,3
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.5,0.75,0.999986069360442,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336128,4
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.8125,0.5625,0.9999998280173422,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336129,5
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.5625,0.625,1.50518949863973,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336130,6
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.6875,0.6875,1.9994580188433408,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336131,7
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.625,0.75,1.5070826415287237,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336132,8
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.6875,0.6875,1.4997282490300392,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336133,9
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.75,0.6875,1.514387684792883,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336134,10
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.5,0.5625,1.4994561638776767,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336135,11
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.6875,0.6875,1.4936944943548975,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336136,12
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.4375,0.6875,0.8105032993487109,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336137,13
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.625,0.6875,0.8069938201811586,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336138,14
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,3,1,0.7924812503605781,0.0,0.3125,0.625,0.9999938086157121,1.3220519764105507,-0.0,0.0,0.0,0.0,0.01856427142537287,0.0,0.014042013291925151,0.0,1.0,0.541015625,1.0,False,False,3336139,15
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.8125,0.6875,1.4979239804785909,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336140,16
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.625,0.625,1.4893412029716093,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336141,17
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.6875,0.625,0.999250713846042,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336142,18
2,2,2,4,1,14,random,0.02,joint_random,4096,postB,1,1,0.0,0.0,0.9375,0.6875,1.4985165456591831,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3336143,19
2,2,2,4,1,14,random,0.05,joint_random,4096,postB,1,1,0.0,0.0,0.625,0.75,1.5002397571156094,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3341224,0
2,2,2,4,1,14,random,0.05,joint_random,4096,postB,1,1,0.0,0.0,0.625,0.6875,0.9994012455550829,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3341225,1
2,2,2,4,1,14,random,0.05,joint_random,4095,postB,1,1,0.0,0.0,0.625,0.75,1.499282899153164,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3341226,2
2,2,2,4,1,14,random,0.05,joint_random,4096,postB,1,1,0.0,0.0,0.5,0.6875,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3341227,3
