Lx,Ly,mode,p,n_lattices,loop_w,loop_h,area,perimeter,n_loops,mean_W,abs_mean_W,frac_negative,seed
6,6,iid_link,0.15,200,1,1,1,4,7200,0.25555555555555554,0.25555555555555554,0.37222222222222223,520864
6,6,iid_link,0.15,200,1,2,2,6,6000,0.11733333333333333,0.11733333333333333,0.44133333333333336,520864
6,6,iid_link,0.15,200,1,3,3,8,4800,0.04541666666666667,0.04541666666666667,0.47729166666666667,520864
6,6,iid_link,0.15,200,1,4,4,10,3600,0.03611111111111111,0.03611111111111111,0.48194444444444445,520864
6,6,iid_link,0.15,200,2,1,2,6,6000,0.10766666666666666,0.10766666666666666,0.44616666666666666,520864
6,6,iid_link,0.15,200,2,2,4,8,5000,0.066,0.066,0.467,520864
6,6,iid_link,0.15,200,2,3,6,10,4000,0.024,0.024,0.488,520864
6,6,iid_link,0.15,200,2,4,8,12,3000,0.0026666666666666666,0.0026666666666666666,0.49866666666666665,520864
6,6,iid_link,0.15,200,3,1,3,8,4800,0.09625,0.09625,0.451875,520864
6,6,iid_link,0.15,200,3,2,6,10,4000,0.0395,0.0395,0.48025,520864
6,6,iid_link,0.15,200,3,3,9,12,3200,0.015625,0.015625,0.4921875,520864
6,6,iid_link,0.15,200,3,4,12,14,2400,0.010833333333333334,0.010833333333333334,0.4945833333333333,520864
6,6,iid_link,0.15,200,4,1,4,10,3600,0.05277777777777778,0.05277777777777778,0.4736111111111111,520864
6,6,iid_link,0.15,200,4,2,8,12,3000,-0.018,0.018,0.509,520864
6,6,iid_link,0.15,200,4,3,12,14,2400,0.029166666666666667,0.029166666666666667,0.48541666666666666,520864
6,6,iid_link,0.15,200,4,4,16,16,1800,-0.016666666666666666,0.016666666666666666,0.5083333333333333,520864
8,8,iid_link,0.15,200,1,1,1,4,12800,0.2309375,0.2309375,0.38453125,539216
8,8,iid_link,0.15,200,1,2,2,6,11200,0.10892857142857143,0.10892857142857143,0.4455357142857143,539216
8,8,iid_link,0.15,200,1,3,3,8,9600,0.051458333333333335,0.051458333333333335,0.4742708333333333,539216
8,8,iid_link,0.15,200,1,4,4,10,8000,0.0025,0.0025,0.49875,539216
8,8,iid_link,0.15,200,2,1,2,6,11200,0.12089285714285715,0.12089285714285715,0.43955357142857143,539216
8,8,iid_link,0.15,200,2,2,4,8,9800,0.05897959183673469,0.05897959183673469,0.47051020408163263,539216
8,8,iid_link,0.15,200,2,3,6,10,8400,0.03142857142857143,0.03142857142857143,0.48428571428571426,539216
8,8,iid_link,0.15,200,2,4,8,12,7000,0.016,0.016,0.492,539216
8,8,iid_link,0.15,200,3,1,3,8,9600,0.05375,0.05375,0.473125,539216
8,8,iid_link,0.15,200,3,2,6,10,8400,0.02619047619047619,0.02619047619047619,0.4869047619047619,539216
8,8,iid_link,0.15,200,3,3,9,12,7200,0.001388888888888889,0.001388888888888889,0.49930555555555556,539216
8,8,iid_link,0.15,200,3,4,12,14,6000,-0.004666666666666667,0.004666666666666667,0.5023333333333333,539216
8,8,iid_link,0.15,200,4,1,4,10,8000,0.03175,0.03175,0.484125,539216
8,8,iid_link,0.15,200,4,2,8,12,7000,0.0008571428571428571,0.0008571428571428571,0.49957142857142856,539216
8,8,iid_link,0.15,200,4,3,12,14,6000,0.015333333333333332,0.015333333333333332,0.49233333333333335,539216
8,8,iid_link,0.15,200,4,4,16,16,5000,0.0196,0.0196,0.4902,539216
10,10,iid_link,0.15,200,1,1,1,4,20000,0.2446,0.2446,0.3777,557568
10,10,iid_link,0.15,200,1,2,2,6,18000,0.12444444444444444,0.12444444444444444,0.43777777777777777,557568
10,10,iid_link,0.15,200,1,3,3,8,16000,0.065125,0.065125,0.4674375,557568
10,10,iid_link,0.15,200,1,4,4,10,14000,0.03514285714285714,0.03514285714285714,0.48242857142857143,557568
10,10,iid_link,0.15,200,2,1,2,6,18000,0.13733333333333334,0.13733333333333334,0.43133333333333335,557568
10,10,iid_link,0.15,200,2,2,4,8,16200,0.06308641975308642,0.06308641975308642,0.4684567901234568,557568
10,10,iid_link,0.15,200,2,3,6,10,14400,0.017083333333333332,0.017083333333333332,0.49145833333333333,557568
10,10,iid_link,0.15,200,2,4,8,12,12600,0.018253968253968255,0.018253968253968255,0.49087301587301585,557568
10,10,iid_link,0.15,200,3,1,3,8,16000,0.081,0.081,0.4595,557568
10,10,iid_link,0.15,200,3,2,6,10,14400,0.03388888888888889,0.03388888888888889,0.48305555555555557,557568
10,10,iid_link,0.15,200,3,3,9,12,12800,0.013125,0.013125,0.4934375,557568
10,10,iid_link,0.15,200,3,4,12,14,11200,0.0069642857142857145,0.0069642857142857145,0.4965178571428571,557568
10,10,iid_link,0.15,200,4,1,4,10,14000,0.037714285714285714,0.037714285714285714,0.48114285714285715,557568
10,10,iid_link,0.15,200,4,2,8,12,12600,0.0012698412698412698,0.0012698412698412698,0.49936507936507935,557568
10,10,iid_link,0.15,200,4,3,12,14,11200,0.010535714285714285,0.010535714285714285,0.49473214285714284,557568
10,10,iid_link,0.15,200,4,4,16,16,9800,0.011020408163265306,0.011020408163265306,0.49448979591836734,557568
