initial_state,B_initial_boundary,B_post_update_boundary,stable_S_label,valid_stable_S,hit_fixed_point,fixed_point_state,cycle_id,distance_to_attractor,B_word,C_word,D_word,A_word
0,0,1,1,True,True,17215,0,3,0,0,0,0
1,1,1,1,True,True,17215,0,3,1,0,0,0
2,2,1,1,True,True,17215,0,3,2,0,0,0
3,3,1,1,True,True,17215,0,3,3,0,0,0
4,0,1,1,True,True,17215,0,3,4,0,0,0
5,1,1,1,True,True,17215,0,3,5,0,0,0
6,2,1,1,True,True,17215,0,3,6,0,0,0
7,3,1,1,True,True,17215,0,3,7,0,0,0
8,0,1,1,True,True,17215,0,3,8,0,0,0
9,1,1,1,True,True,17215,0,3,9,0,0,0
10,2,1,1,True,True,17215,0,3,10,0,0,0
11,3,1,1,True,True,17215,0,3,11,0,0,0
12,0,3,1,True,True,17215,0,2,12,0,0,0
13,1,3,1,True,True,17215,0,2,13,0,0,0
14,2,3,1,True,True,17215,0,2,14,0,0,0
15,3,3,1,True,True,17215,0,2,15,0,0,0
16,0,1,1,True,True,17215,0,3,0,1,0,0
17,1,1,1,True,True,17215,0,3,1,1,0,0
18,2,1,1,True,True,17215,0,3,2,1,0,0
19,3,1,1,True,True,17215,0,3,3,1,0,0
20,0,1,1,True,True,17215,0,3,4,1,0,0
21,1,1,1,True,True,17215,0,3,5,1,0,0
22,2,1,1,True,True,17215,0,3,6,1,0,0
23,3,1,1,True,True,17215,0,3,7,1,0,0
24,0,1,1,True,True,17215,0,3,8,1,0,0
25,1,1,1,True,True,17215,0,3,9,1,0,0
26,2,1,1,True,True,17215,0,3,10,1,0,0
27,3,1,1,True,True,17215,0,3,11,1,0,0
28,0,3,1,True,True,17215,0,2,12,1,0,0
29,1,3,1,True,True,17215,0,2,13,1,0,0
30,2,3,1,True,True,17215,0,2,14,1,0,0
31,3,3,1,True,True,17215,0,2,15,1,0,0
32,0,1,1,True,True,17215,0,3,0,2,0,0
33,1,1,1,True,True,17215,0,3,1,2,0,0
34,2,1,1,True,True,17215,0,3,2,2,0,0
