loop_index,n,loop_length,holonomy_json,holonomy_type,holonomy_order,nontrivial,edge_types_json,edges_json,gauge_trials,gauge_covariance_success,conjugacy_class_success
0,3,4,"[0, 1, 2]",identity,1,False,"[""identity"", ""identity"", ""identity"", ""identity""]","[[0, 1, 2], [0, 1, 2], [0, 1, 2], [0, 1, 2]]",3,1.0,1.0
1,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""identity"", ""identity"", ""identity"", ""cycle_2_1""]","[[0, 1, 2], [0, 1, 2], [0, 1, 2], [0, 2, 1]]",3,1.0,1.0
2,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""identity"", ""identity"", ""identity"", ""cycle_2_1""]","[[0, 1, 2], [0, 1, 2], [0, 1, 2], [1, 0, 2]]",3,1.0,1.0
3,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""identity"", ""identity"", ""identity"", ""cycle_2_1""]","[[0, 1, 2], [0, 1, 2], [0, 1, 2], [2, 1, 0]]",3,1.0,1.0
4,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""identity"", ""identity"", ""cycle_2_1"", ""identity""]","[[0, 1, 2], [0, 1, 2], [0, 2, 1], [0, 1, 2]]",3,1.0,1.0
5,3,4,"[0, 1, 2]",identity,1,False,"[""identity"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 1, 2], [0, 2, 1], [0, 2, 1]]",3,1.0,1.0
6,3,4,"[1, 2, 0]",cycle_3,3,True,"[""identity"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 1, 2], [0, 2, 1], [1, 0, 2]]",3,1.0,1.0
7,3,4,"[2, 0, 1]",cycle_3,3,True,"[""identity"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 1, 2], [0, 2, 1], [2, 1, 0]]",3,1.0,1.0
8,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""identity"", ""identity"", ""cycle_2_1"", ""identity""]","[[0, 1, 2], [0, 1, 2], [1, 0, 2], [0, 1, 2]]",3,1.0,1.0
9,3,4,"[2, 0, 1]",cycle_3,3,True,"[""identity"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 1, 2], [1, 0, 2], [0, 2, 1]]",3,1.0,1.0
10,3,4,"[0, 1, 2]",identity,1,False,"[""identity"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 1, 2], [1, 0, 2], [1, 0, 2]]",3,1.0,1.0
11,3,4,"[1, 2, 0]",cycle_3,3,True,"[""identity"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 1, 2], [1, 0, 2], [2, 1, 0]]",3,1.0,1.0
12,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""identity"", ""identity"", ""cycle_2_1"", ""identity""]","[[0, 1, 2], [0, 1, 2], [2, 1, 0], [0, 1, 2]]",3,1.0,1.0
13,3,4,"[1, 2, 0]",cycle_3,3,True,"[""identity"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 1, 2], [2, 1, 0], [0, 2, 1]]",3,1.0,1.0
14,3,4,"[2, 0, 1]",cycle_3,3,True,"[""identity"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 1, 2], [2, 1, 0], [1, 0, 2]]",3,1.0,1.0
15,3,4,"[0, 1, 2]",identity,1,False,"[""identity"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 1, 2], [2, 1, 0], [2, 1, 0]]",3,1.0,1.0
16,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""identity"", ""identity""]","[[0, 1, 2], [0, 2, 1], [0, 1, 2], [0, 1, 2]]",3,1.0,1.0
17,3,4,"[0, 1, 2]",identity,1,False,"[""identity"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 1, 2], [0, 2, 1], [0, 1, 2], [0, 2, 1]]",3,1.0,1.0
18,3,4,"[1, 2, 0]",cycle_3,3,True,"[""identity"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 1, 2], [0, 2, 1], [0, 1, 2], [1, 0, 2]]",3,1.0,1.0
19,3,4,"[2, 0, 1]",cycle_3,3,True,"[""identity"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 1, 2], [0, 2, 1], [0, 1, 2], [2, 1, 0]]",3,1.0,1.0
20,3,4,"[0, 1, 2]",identity,1,False,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 1, 2], [0, 2, 1], [0, 2, 1], [0, 1, 2]]",3,1.0,1.0
21,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 2, 1], [0, 2, 1], [0, 2, 1]]",3,1.0,1.0
22,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 2, 1], [0, 2, 1], [1, 0, 2]]",3,1.0,1.0
23,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 2, 1], [0, 2, 1], [2, 1, 0]]",3,1.0,1.0
24,3,4,"[1, 2, 0]",cycle_3,3,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 1, 2], [0, 2, 1], [1, 0, 2], [0, 1, 2]]",3,1.0,1.0
25,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 2, 1], [1, 0, 2], [0, 2, 1]]",3,1.0,1.0
26,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 2, 1], [1, 0, 2], [1, 0, 2]]",3,1.0,1.0
27,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 2, 1], [1, 0, 2], [2, 1, 0]]",3,1.0,1.0
28,3,4,"[2, 0, 1]",cycle_3,3,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 1, 2], [0, 2, 1], [2, 1, 0], [0, 1, 2]]",3,1.0,1.0
29,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 2, 1], [2, 1, 0], [0, 2, 1]]",3,1.0,1.0
30,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 2, 1], [2, 1, 0], [1, 0, 2]]",3,1.0,1.0
31,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [0, 2, 1], [2, 1, 0], [2, 1, 0]]",3,1.0,1.0
32,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""identity"", ""identity""]","[[0, 1, 2], [1, 0, 2], [0, 1, 2], [0, 1, 2]]",3,1.0,1.0
33,3,4,"[2, 0, 1]",cycle_3,3,True,"[""identity"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 1, 2], [1, 0, 2], [0, 1, 2], [0, 2, 1]]",3,1.0,1.0
34,3,4,"[0, 1, 2]",identity,1,False,"[""identity"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 1, 2], [1, 0, 2], [0, 1, 2], [1, 0, 2]]",3,1.0,1.0
35,3,4,"[1, 2, 0]",cycle_3,3,True,"[""identity"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 1, 2], [1, 0, 2], [0, 1, 2], [2, 1, 0]]",3,1.0,1.0
36,3,4,"[2, 0, 1]",cycle_3,3,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 1, 2], [1, 0, 2], [0, 2, 1], [0, 1, 2]]",3,1.0,1.0
37,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [1, 0, 2], [0, 2, 1], [0, 2, 1]]",3,1.0,1.0
38,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [1, 0, 2], [0, 2, 1], [1, 0, 2]]",3,1.0,1.0
39,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [1, 0, 2], [0, 2, 1], [2, 1, 0]]",3,1.0,1.0
40,3,4,"[0, 1, 2]",identity,1,False,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 1, 2], [1, 0, 2], [1, 0, 2], [0, 1, 2]]",3,1.0,1.0
41,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [1, 0, 2], [1, 0, 2], [0, 2, 1]]",3,1.0,1.0
42,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [1, 0, 2], [1, 0, 2], [1, 0, 2]]",3,1.0,1.0
43,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [1, 0, 2], [1, 0, 2], [2, 1, 0]]",3,1.0,1.0
44,3,4,"[1, 2, 0]",cycle_3,3,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 1, 2], [1, 0, 2], [2, 1, 0], [0, 1, 2]]",3,1.0,1.0
45,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [1, 0, 2], [2, 1, 0], [0, 2, 1]]",3,1.0,1.0
46,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [1, 0, 2], [2, 1, 0], [1, 0, 2]]",3,1.0,1.0
47,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [1, 0, 2], [2, 1, 0], [2, 1, 0]]",3,1.0,1.0
48,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""identity"", ""identity""]","[[0, 1, 2], [2, 1, 0], [0, 1, 2], [0, 1, 2]]",3,1.0,1.0
49,3,4,"[1, 2, 0]",cycle_3,3,True,"[""identity"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 1, 2], [2, 1, 0], [0, 1, 2], [0, 2, 1]]",3,1.0,1.0
50,3,4,"[2, 0, 1]",cycle_3,3,True,"[""identity"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 1, 2], [2, 1, 0], [0, 1, 2], [1, 0, 2]]",3,1.0,1.0
51,3,4,"[0, 1, 2]",identity,1,False,"[""identity"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 1, 2], [2, 1, 0], [0, 1, 2], [2, 1, 0]]",3,1.0,1.0
52,3,4,"[1, 2, 0]",cycle_3,3,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 1, 2], [2, 1, 0], [0, 2, 1], [0, 1, 2]]",3,1.0,1.0
53,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [2, 1, 0], [0, 2, 1], [0, 2, 1]]",3,1.0,1.0
54,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [2, 1, 0], [0, 2, 1], [1, 0, 2]]",3,1.0,1.0
55,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [2, 1, 0], [0, 2, 1], [2, 1, 0]]",3,1.0,1.0
56,3,4,"[2, 0, 1]",cycle_3,3,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 1, 2], [2, 1, 0], [1, 0, 2], [0, 1, 2]]",3,1.0,1.0
57,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [2, 1, 0], [1, 0, 2], [0, 2, 1]]",3,1.0,1.0
58,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [2, 1, 0], [1, 0, 2], [1, 0, 2]]",3,1.0,1.0
59,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [2, 1, 0], [1, 0, 2], [2, 1, 0]]",3,1.0,1.0
60,3,4,"[0, 1, 2]",identity,1,False,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 1, 2], [2, 1, 0], [2, 1, 0], [0, 1, 2]]",3,1.0,1.0
61,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [2, 1, 0], [2, 1, 0], [0, 2, 1]]",3,1.0,1.0
62,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [2, 1, 0], [2, 1, 0], [1, 0, 2]]",3,1.0,1.0
63,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""identity"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 1, 2], [2, 1, 0], [2, 1, 0], [2, 1, 0]]",3,1.0,1.0
64,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""identity"", ""identity""]","[[0, 2, 1], [0, 1, 2], [0, 1, 2], [0, 1, 2]]",3,1.0,1.0
65,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""identity"", ""identity"", ""cycle_2_1""]","[[0, 2, 1], [0, 1, 2], [0, 1, 2], [0, 2, 1]]",3,1.0,1.0
66,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""identity"", ""identity"", ""cycle_2_1""]","[[0, 2, 1], [0, 1, 2], [0, 1, 2], [1, 0, 2]]",3,1.0,1.0
67,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""identity"", ""identity"", ""cycle_2_1""]","[[0, 2, 1], [0, 1, 2], [0, 1, 2], [2, 1, 0]]",3,1.0,1.0
68,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""identity""]","[[0, 2, 1], [0, 1, 2], [0, 2, 1], [0, 1, 2]]",3,1.0,1.0
