q,w,k_total,rule_ensemble,mutation_rate,exact_B_classes,exact_C_classes,exact_Dtop_classes,exact_Dbottom_classes,source_label_classes,source_residual_qcoords,source_liveness,phi_AC_transport,phi_BD_transport,phi_CD_transport,min_edge_transport,min_edge_accuracy,valid_square,phi_AB,phi_BD,phi_AC,phi_CD,top,bottom,delta,top_type,bottom_type,delta_type,nontrivial_path_holonomy,generated_group_name,generated_group_order,generated_group_abelian,generated_group_cyclic,generated_group_transitive,gauge_covariance_success,conjugacy_class_success,seed,instance,initial_mode,n_initial_states
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59463,0,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59464,1,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59465,2,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59466,3,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59467,4,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59468,5,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59469,6,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59470,7,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59471,8,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59472,9,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59473,10,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59474,11,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59475,12,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59476,13,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59477,14,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59478,15,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59479,16,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59480,17,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59481,18,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59482,19,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59483,20,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59484,21,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59485,22,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59486,23,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59487,24,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59488,25,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59489,26,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59490,27,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59491,28,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59492,29,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59493,30,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59494,31,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59495,32,joint_random,4096
4,1,19,copy,0.0,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,identity,identity,False,trivial,1,True,True,False,True,True,59496,33,joint_random,4096
