all_edges_selected,same_label_cardinality,edge_selected_json,edge_types_json,edge_perms_json,min_edge_transport,min_edge_source,min_edge_accuracy,min_edge_residual,label_cardinality,AB_selected,AB_type,AB_transport,AB_source,AB_accuracy,AB_s1_residual,AB_s2_residual,BD_selected,BD_type,BD_transport,BD_source,BD_accuracy,BD_s1_residual,BD_s2_residual,AC_selected,AC_type,AC_transport,AC_source,AC_accuracy,AC_s1_residual,AC_s2_residual,CD_selected,CD_type,CD_transport,CD_source,CD_accuracy,CD_s1_residual,CD_s2_residual,path_holonomy_valid,top_json,bottom_json,delta_json,delta_type,delta_order,nontrivial_path_holonomy,gauge_trials,gauge_covariance_success,conjugacy_class_success,generated_group_name,generated_group_order,generated_group_abelian,generated_group_cyclic,generated_group_transitive,group_elements_json,q,kB,kM,kA,w,edge_ensemble,mutation_rate,instance,seed
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,0,76110
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,1,76111
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,2,76112
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,3,76113
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,4,76114
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,5,76115
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,6,76116
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,7,76117
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,8,76118
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,9,76119
