winner_index,score,seed_ensemble,seed_mutation_rate,q,w,s1_shared_classes,s2_shared_classes,s1_residual_qcoords,s2_residual_qcoords,selected_for_group,permutation_type,permutation_json,mapping_json,H_s1_bits,H_s2_bits,H_source_bits,transport_mi_bits,transport_mi_over_Hs1,transport_mi_over_Hs2,source_to_s1_mi_bits,source_to_s2_mi_bits,source_to_s1_mi_over_Hs1,source_to_s2_mi_over_Hs2,best_accuracy,n_s1_classes,n_s2_classes,is_bijection
0,0.9584962500721159,copy,0.05,4,1,4,3,1.0,0.7924812503605781,True,nonbijective,null,"{""0"": 1, ""1"": 0, ""2"": 1, ""3"": 2}",1.9999298164154182,1.5004597589538315,1.9999298164154182,1.5004597589538315,0.7502562073119077,1.0,1.9999298164154182,1.5004597589538315,1.0,1.0,1.0,4,3,False
1,0.9584962500721159,permutive,0.05,4,1,3,3,0.7924812503605781,0.7924812503605781,True,cycle_2_1,"[0, 2, 1]","{""0"": 0, ""1"": 2, ""2"": 1}",1.5027079341357177,1.5027079341357177,1.5027079341357177,1.5027079341357177,1.0,1.0,1.5027079341357177,1.5027079341357177,1.0,1.0,1.0,3,3,True
2,0.9584962500721158,copy,0.05,4,1,3,3,0.7924812503605781,0.7924812503605781,True,identity,"[0, 1, 2]","{""0"": 0, ""1"": 1, ""2"": 2}",1.500399620536633,1.500399620536633,1.9997594916446373,1.500399620536633,1.0,1.0,1.5003996205366332,1.5003996205366332,1.0000000000000002,1.0000000000000002,1.0,3,3,True
3,0.9584962500721158,copy,0.05,4,1,3,3,0.7924812503605781,0.7924812503605781,True,identity,"[0, 1, 2]","{""0"": 0, ""1"": 1, ""2"": 2}",1.4889121737655455,1.4889121737655455,1.9992178718886995,1.4889121737655455,1.0,1.0,1.4889121737655453,1.4889121737655453,0.9999999999999999,0.9999999999999999,1.0,3,3,True
4,0.9584962500721158,copy,0.05,4,1,3,3,0.7924812503605781,0.7924812503605781,True,identity,"[0, 1, 2]","{""0"": 0, ""1"": 1, ""2"": 2}",1.5112888563534441,1.5112888563534441,1.999253060364484,1.5112888563534441,1.0,1.0,1.5112888563534441,1.5112888563534441,1.0,1.0,1.0,3,3,True
5,0.9584962500721158,copy,0.05,4,1,3,3,0.7924812503605781,0.7924812503605781,True,identity,"[0, 1, 2]","{""0"": 0, ""1"": 1, ""2"": 2}",1.496506415300609,1.496506415300609,1.9999158432686097,1.496506415300609,1.0,1.0,1.4965064153006087,1.4965064153006087,0.9999999999999999,0.9999999999999999,1.0,3,3,True
6,0.9584962500721158,copy,0.05,4,1,3,3,0.7924812503605781,0.7924812503605781,True,identity,"[0, 1, 2]","{""0"": 0, ""1"": 1, ""2"": 2}",1.4859345312054901,1.4859345312054901,1.9977504671133224,1.4859345312054901,1.0,1.0,1.4859345312054903,1.4859345312054903,1.0000000000000002,1.0000000000000002,1.0,3,3,True
7,0.9584962500721158,copy,0.05,4,1,3,3,0.7924812503605781,0.7924812503605781,True,identity,"[0, 1, 2]","{""0"": 0, ""1"": 1, ""2"": 2}",1.5071355283559384,1.5071355283559384,1.9997104210707848,1.5071355283559384,1.0,1.0,1.5071355283559384,1.5071355283559384,1.0,1.0,1.0,3,3,True
8,0.9584962500721158,permutive,0.05,4,1,3,3,0.7924812503605781,0.7924812503605781,True,cycle_2_1,"[1, 0, 2]","{""0"": 1, ""1"": 0, ""2"": 2}",1.4881411350413227,1.4881411350413227,1.9989194065667562,1.4881411350413227,1.0,1.0,1.4881411350413227,1.4881411350413227,1.0,1.0,1.0,3,3,True
9,0.9584962500721158,permutive,0.05,4,1,3,3,0.7924812503605781,0.7924812503605781,True,cycle_2_1,"[1, 0, 2]","{""0"": 1, ""1"": 0, ""2"": 2}",1.5010721945989012,1.5010721945989012,1.9998265788722733,1.5010721945989012,1.0,1.0,1.5010721945989012,1.5010721945989012,1.0,1.0,1.0,3,3,True
10,0.9584962500721158,permutive,0.05,4,1,3,3,0.7924812503605781,0.7924812503605781,True,cycle_2_1,"[1, 0, 2]","{""0"": 1, ""1"": 0, ""2"": 2}",1.5089053040414826,1.5089053040414826,1.9996790841339054,1.5089053040414826,1.0,1.0,1.5089053040414824,1.5089053040414824,0.9999999999999999,0.9999999999999999,1.0,3,3,True
